m/z	RT
781.6112	8.434
816.7034	12.92
1222.0958	11.18
581.544	11.098
344.3207	11.125
1381.1895	15.214
1264.1757	17.955
852.8017	18.393
743.5783	7.997
666.6191	23.121
784.5752	6.52
799.5906	3.596
795.6096	8.106
1291.195	17.955
518.3212	1.976
897.7733	17.354
890.7811	15.982
819.7263	16.944
843.5832	6.383
318.305	11.125
367.3358	15.187
775.5678	4.147
815.6908	11.125
1223.0997	11.098
510.355	2.275
864.802	18.256
762.6014	9.668
705.5905	7.394
371.358	18.037
370.3546	15.406
755.5675	6.63
645.6187	11.153
1319.2355	18.393
798.5652	4.837
822.7454	17.354
282.279	2.688
925.8048	17.71
671.6528	22.733
811.6044	8.161
814.6881	11.426
744.5539	6.711
808.739	17.573
825.7737	18.065
797.7423	17.71
693.6377	18.147
813.6753	9.888
243.2873	1.09
1085.0792	8.243
258.279	2.109
993.6779	2.003
525.5343	8.243
757.5569	6.465
904.76	15.05
667.6224	22.733
195.0875	0.701
368.3393	15.406
796.6226	9.421
930.7755	15.269
810.5912	7.286
676.6796	4.369
689.606	17.409
837.7739	17.901
780.5511	7.45
858.8269	18.092
686.6416	16.834
837.62	8.625
776.5798	8.513
802.5962	5.141
689.559	6.274
809.6534	8.735
875.7793	17.464
861.7736	17.6
799.6694	10.658
1319.2173	18.037
814.6326	9.996
529.3923	2.114
583.5532	6.383
768.7079	17.3
782.6151	8.513
745.5938	8.216
798.565	4.532
436.3418	3.598
933.7942	15.872
798.5653	4.45
802.688	12.007
889.8053	17.955
622.5426	11.016
482.3604	2.303
780.5509	7.312
671.6535	23.039
372.3703	22.733
812.6166	8.843
682.6134	18.037
636.5568	10.106
645.6187	11.016
746.6068	9.255
1048.7377	2.605
759.5637	7.395
906.8488	18.722
661.5928	8.543
369.3518	7.067
1216.135	11.125
832.5852	6.957
804.551	7.204
566.5701	10.355
374.3768	18.393
880.8239	18.393
538.5389	8.844
766.692	16.834
1022.7183	2.056
372.3706	23.039
772.5857	7.832
725.5565	6.903
786.5918	8.734
816.703	12.818
158.0272	23.105
798.5639	7.148
793.7111	16.944
898.7762	17.163
675.6292	11.098
923.7889	17.382
789.6754	11.207
905.7631	15.132
802.5963	5.251
926.8173	17.955
757.557	6.328
782.569	6.876
689.5595	6.219
400.2869	2.824
600.561	11.125
610.541	9.942
768.5628	6.958
773.6537	10.438
811.6044	7.887
546.355	1.892
1219.1479	11.125
682.6134	15.406
872.7611	17.163
1021.6595	7.75
773.5888	8.051
723.6116	15.05
599.5915	8.216
891.8209	18.256
715.6219	17.6
763.5951	8.407
840.6223	7.121
658.614	11.098
1011.7181	2.136
638.572	11.316
744.5907	9.063
758.5468	7.368
746.6402	2.824
802.5559	4.56
836.6071	8.189
1445.1266	8.707
1053.7652	2.114
758.5519	7.395
666.6096	17.627
894.7545	16.834
332.331	1.863
835.7581	17.573
671.6532	23.093
886.7859	17.627
798.5645	4.257
681.601	15.269
758.5921	7.394
810.7548	17.873
1406.1426	6.875
279.159	3.598
891.7844	15.982
545.3428	1.702
818.5912	5.113
494.324	1.645
928.8329	18.174
671.5762	15.296
1365.2101	17.819
413.2659	3.598
770.6058	8.325
838.6332	9.558
648.5797	15.406
664.5745	15.214
633.5824	11.125
813.61	8.543
791.5627	4.147
972.7716	16.174
853.805	18.393
804.5461	3.598
865.8055	18.256
830.805	18.037
922.7856	17.573
786.6571	9.723
1308.2449	18.393
768.563	7.122
1357.2608	16.834
367.336	15.05
816.6223	7.45
706.5377	6.93
706.6132	15.324
1048.7341	2.114
1106.0581	8.215
851.7796	17.737
968.6652	2.193
423.3628	2.415
633.5824	11.234
622.5426	11.262
643.622	18.393
903.8104	17.873
670.6502	18.859
775.5673	7.394
888.765	15.324
542.3214	1.757
1025.9889	18.393
667.6225	23.133
1265.1791	17.955
1342.9277	8.735
905.7633	15.05
676.5471	5.583
1348.1967	15.406
774.6014	9.091
746.5698	7.75
765.5934	8.407
592.5753	10.988
1407.1459	6.875
822.5644	4.147
429.3728	8.051
796.5853	7.832
675.6293	11.262
905.8264	18.147
802.5957	8.817
721.5074	8.735
862.6144	6.383
800.5803	4.45
792.5906	7.887
599.5914	8.298
836.6168	9.063
931.7789	15.269
794.6068	9.146
1347.1935	15.406
855.8176	22.733
799.6694	10.41
1343.9311	8.735
