m/z	RT
669.6379	23.065
864.8017	18.255
1074.3068	9.028
1352.3715	17.159
802.5551	4.569
596.4027	1.781
1000.2879	7.896
1278.3528	16.94
708.5281	4.487
1221.3454	11.189
594.4284	2.881
766.6917	16.913
717.6365	17.433
899.7886	17.515
686.5869	16.913
989.7835	16.83
701.648	14.986
685.632	18.419
1202.3347	16.693
617.3976	2.826
759.5618	6.65
1442.4005	15.068
541.3575	1.781
952.7742	16.693
818.6623	12.658
669.6134	15.013
687.5903	17.05
1277.3541	16.94
777.2332	4.679
369.3514	17.789
1128.3157	16.391
920.3113	15.813
1102.3106	17.214
640.6027	17.981
1318.2132	18.035
1148.3259	10.082
926.2668	6.815
561.3346	1.726
793.7106	16.995
175.1632	0.947
158.027	23.396
779.5383	6.623
801.6215	11.107
647.458	12.849
802.1234	11.107
768.7266	15.619
797.7423	17.707
656.4238	1.781
807.7264	17.214
1351.3727	17.159
991.7817	16.83
769.5591	7.341
694.5605	17.378
1101.3113	17.214
1147.3274	10.082
760.6024	8.395
1028.7914	16.995
1055.2978	16.006
650.4932	4.542
796.5241	7.368
371.3577	17.433
954.7725	16.693
838.7862	18.227
1222.3426	11.189
767.7277	15.619
650.439	2.441
666.4339	2.166
874.4758	2.468
1054.2972	16.006
880.7534	16.363
356.183	0.673
921.312	15.813
1426.3892	17.378
772.0767	8.395
800.1079	9.834
576.3054	1.726
846.6686	9.834
643.6062	12.849
625.452	3.579
1260.9715	16.83
702.6182	17.597
804.6103	9.881
700.6444	12.904
798.5401	8.395
716.6165	17.378
896.7697	17.159
1146.3268	10.082
1056.296	16.006
688.5826	17.406
771.575	8.395
650.439	2.304
818.7228	17.105
806.7345	15.95
1026.7927	16.995
789.5466	3.739
421.3244	5.572
688.4309	4.514
158.027	23.615
771.5367	3.794
1209.7995	2.881
1214.1184	12.658
1021.9581	18.419
1220.3443	11.189
820.4891	2.578
811.7578	17.871
847.7577	17.488
640.5867	12.631
1296.3638	12.356
799.6063	9.799
863.7894	17.981
828.5868	11.08
652.4656	2.881
684.6323	15.068
788.6346	9.799
700.6234	18.419
1358.0113	5.626
772.5485	3.739
641.5819	12.631
640.5868	12.74
852.7921	18.063
632.3683	2.826
1295.3652	12.356
642.6181	18.419
716.4621	5.654
915.2644	16.556
758.5913	7.341
703.3638	1.056
904.8235	18.117
620.5298	12.904
598.548	12.685
704.5972	17.406
778.2313	4.679
1353.3709	17.159
151.1309	17.433
572.3304	0.81
760.5616	8.467
1102.8102	17.214
726.6754	18.474
684.6328	14.986
656.6183	14.986
680.4967	3.606
758.5913	7.396
796.5801	5.626
790.6075	11.08
360.3234	4.35
1446.399	15.068
772.5477	6.65
878.255	16.391
1205.3332	16.693
922.3102	15.813
1276.3535	16.94
716.4854	2.882
673.6163	12.685
678.5254	5.626
151.0194	17.433
770.0606	7.396
1098.677	1.781
702.6176	17.406
760.6025	8.439
852.2468	5.681
841.2457	16.198
735.5729	8.258
689.497	5.654
678.4872	5.61
768.7071	17.269
714.6175	17.433
1138.8202	17.324
1425.3906	17.378
668.6526	18.446
660.3994	3.574
1321.925	4.514
661.4659	4.495
770.5333	4.016
994.3302	16.253
1363.1838	17.433
655.598	12.849
226.6861	18.419
1261.9749	16.83
826.5711	9.834
672.5793	17.433
703.2145	3.794
768.5491	4.542
843.7441	16.198
1326.2719	18.419
184.0729	1.781
1064.8018	17.077
688.6218	17.433
995.3307	16.281
215.0929	23.699
1279.3524	16.94
628.195	3.046
628.5867	12.794
673.6164	12.876
832.7383	17.324
1350.3722	17.159
714.6604	14.986
747.6473	17.433
688.6034	23.065
1427.3888	17.378
609.5722	15.068
628.5866	12.658
720.4443	0.617
668.6184	14.986
663.5317	15.013
701.6059	17.159
788.5918	9.834
642.6047	23.23
802.5226	2.166
986.1997	4.514
215.093	23.065
820.5333	2.139
676.6794	4.35
1305.2251	18.419
1139.3198	17.324
1064.3018	17.077
1065.3012	17.077
656.4058	3.157
342.3079	12.712
781.7106	17.159
729.6793	14.986
694.6495	18.419
671.5736	18.008
648.5613	15.149
716.6339	17.789
918.2622	16.556
790.5584	7.368
457.2631	1.056
617.5806	12.685
622.4632	3.606
775.5665	7.368
594.425	2.826
680.4496	2.111
906.8485	18.748
378.2517	1.89
1075.3063	9.028
663.5315	15.067
932.8795	19.936
1370.3825	13.877
769.226	15.619
818.0119	1.781
463.1465	5.406
1149.3253	10.082
686.6286	12.794
715.6631	15.068
697.6683	18.419
1290.191	17.981
892.4864	2.386
635.5003	12.822
1131.3141	16.391
712.4865	2.908
992.2812	16.83
996.329	16.281
668.615	18.419
986.7015	4.514
1138.3205	17.324
1289.1876	17.981
640.5872	12.849
878.6584	8.422
