m/z	RT	peak_height	Gaussian_similarity	asymmetry_factor	is_isotope	is_in_source_fragment	charge	MS2	MS2_scan_id
150.0267	1.261	2390	0.0	inf	False	False	1		
150.0268	2.612	140501	0.97	4.0	False	False	1		
150.0308	1.308	1065	0.0	inf	False	False	1		
150.0342	2.658	11020	0.63	5.0	False	False	1		
150.0364	13.331	1039	0.0	inf	False	False	1		
150.0366	4.789	1306	0.0	inf	False	False	1		
150.037	16.535	1176	0.0	inf	False	False	1		
150.0371	16.194	1220	0.0	inf	False	False	1		
150.0374	15.531	1356	0.0	1.0	False	False	1		
150.0375	16.081	1701	0.0	inf	False	False	1		
150.0375	16.363	1473	0.0	inf	False	False	1		
150.0376	15.707	1186	0.0	inf	False	False	1		
150.0378	19.594	1041	0.0	inf	False	False	1		
150.0386	15.944	1498	0.0	inf	False	False	1		
150.0462	2.704	2260	0.0	inf	False	False	1		
150.0516	2.612	9360	0.0	inf	False	False	1		
150.0631	1.12	1353	0.0	inf	False	False	1		
150.0879	2.658	2689	0.0	inf	False	False	1		
150.1112	2.704	1183	0.0	inf	False	False	1		
150.1336	13.013	1471	0.0	inf	False	False	1		
150.1352	13.52	4699	0.0	inf	False	False	1		
150.1355	5.86	3712	0.0	inf	False	False	1		
150.1359	14.86	8037	0.56	99.0	False	False	1		
150.136	13.225	1228	0.0	inf	False	False	1		
150.1364	12.499	2295	0.72	99.0	False	False	1		
150.1369	1.261	1490	0.0	inf	False	False	1		
151.0151	6.499	1369	0.0	inf	False	False	1		
151.0288	2.612	14694	0.96	4.0	False	False	1		
151.0365	2.658	1906	0.0	inf	False	False	1		
151.0752	0.983	2058	0.59	99.0	False	False	1		
151.0758	13.013	1081	0.0	inf	False	False	1		
151.0841	2.235	1157	0.6	99.0	False	False	1		
151.0856	0.983	1507	0.0	inf	False	False	1		
151.0951	15.519	1097	0.0	inf	False	False	1		
151.0954	3.317	1407	0.0	inf	False	False	1		
151.0955	16.812	1117	0.0	inf	False	False	1		
151.0956	3.976	1019	0.0	inf	False	False	1		
151.0958	1.402	2766	0.91	0.0	False	False	1		
151.0958	7.909	1082	0.0	inf	False	False	1		
151.0958	18.745	1197	0.0	inf	False	False	1		
151.096	2.471	1481	0.0	inf	False	False	1		
151.0962	1.767	2324	0.0	inf	False	False	1		
151.0963	19.08	1272	0.0	inf	False	False	1		
151.0964	11.888	1266	0.57	0.0	False	False	1		
151.0964	19.745	1315	0.38	1.0	False	False	1		
151.0964	10.432	1413	0.77	0.0	False	False	1		
151.0964	18.079	1180	0.38	1.0	False	False	1		
151.0965	0.766	1174	0.0	inf	False	False	1		
151.0968	1.168	2067	0.0	inf	False	False	1		
151.0968	3.835	1060	0.0	inf	False	False	1		
151.0968	4.117	1232	0.0	inf	False	False	1		
151.097	19.206	1037	0.0	inf	False	False	1		
151.097	16.194	1152	0.0	inf	False	False	1		
151.0971	2.235	1862	0.0	inf	False	False	1		
151.0972	18.807	1083	0.0	inf	False	False	1		
151.0972	5.585	1056	0.0	inf	False	False	1		
151.0972	17.531	1143	0.0	inf	False	False	1		
151.0974	9.484	1101	0.0	inf	False	False	1		
151.0975	2.845	1046	0.0	inf	False	False	1		
151.0975	3.694	1198	0.0	inf	False	False	1		
151.0976	0.983	2547	0.0	inf	False	False	1		
151.0987	13.426	1495	0.0	inf	False	False	1		
151.1111	12.312	1549	0.0	inf	False	False	1		
151.1112	2.986	1643	0.0	inf	False	False	1		
151.1113	1.074	2481	0.78	99.0	False	False	1		
151.1113	12.872	1698	0.0	inf	False	False	1		
151.1113	15.223	1174	0.0	inf	False	False	1		
151.1114	0.983	3111	0.0	inf	False	False	1		
151.1117	13.167	1247	0.0	inf	False	False	1		
151.1118	12.545	4675	0.0	inf	False	False	1		
151.1121	16.779	1001	0.0	inf	False	False	1		
151.1122	19.406	1203	0.0	inf	False	False	1		
151.1122	3.694	1019	0.0	inf	False	False	1		
151.1125	2.188	1882	0.83	0.0	False	False	1		
151.1126	4.836	1448	0.0	inf	False	False	1		
151.1463	5.86	2413	0.0	inf	False	False	1		
151.1464	15.896	1040	0.0	inf	False	False	1		
151.147	13.52	2233	0.0	inf	False	False	1		
151.1479	2.141	1532	0.0	inf	False	False	1		
151.1479	13.013	2516	0.81	0.0	False	False	1		
151.148	12.545	5085	0.84	0.67	False	False	1		
151.1486	1.355	1251	0.0	inf	False	False	1		
151.1487	15.033	1956	0.8	99.0	False	False	1		
152.0706	0.936	1340	0.0	inf	False	False	1		
152.1069	0.983	1677	0.0	inf	False	False	1		
152.1512	5.86	3253	0.0	inf	False	False	1		
152.1516	13.52	4571	0.0	inf	False	False	1		
152.1518	12.966	1163	0.0	inf	False	False	1		
152.1522	15.033	3023	0.0	inf	False	False	1		
152.1526	13.225	1112	0.56	0.0	False	False	1		
152.9472	15.849	1112	0.0	inf	False	False	1		
152.949	15.318	1141	0.0	inf	False	False	1		
153.0767	19.962	1061	0.0	inf	False	False	1		
153.0768	4.165	1068	0.68	0.0	False	False	1		
153.0883	11.877	1120	0.0	inf	False	False	1		
153.0899	0.883	1111	0.0	inf	False	False	1		
153.0901	2.892	1229	0.74	0.0	False	False	1		
153.0903	17.498	1037	0.61	99.0	False	False	1		
153.0905	0.983	2118	0.0	inf	False	False	1		
153.0907	1.12	1749	0.0	inf	False	False	1		
153.0908	1.355	1617	0.0	inf	False	False	1		
153.0915	19.347	1168	0.0	inf	False	False	1		
153.0916	4.165	1432	0.0	inf	False	False	1		
153.0919	18.778	1009	0.0	inf	False	False	1		
153.0922	8.546	1359	0.0	inf	False	False	1		
153.0925	16.916	1274	0.0	inf	False	False	1		
153.1272	1.168	2968	0.0	inf	False	False	1		
153.1275	13.013	2300	0.0	inf	False	False	1		
153.1286	11.877	1144	0.0	inf	False	False	1		
153.138	16.297	1097	0.0	inf	False	False	1		
153.1382	1.214	1526	0.0	inf	False	False	1		
153.1386	18.303	1029	0.0	inf	False	False	1		
153.1386	17.25	1189	0.0	inf	False	False	1		
153.1387	15.648	1773	0.38	1.0	False	False	1		
153.1388	1.074	2260	0.02	2.0	False	False	1		
153.1389	9.155	1201	0.7	99.0	False	False	1		
153.1389	19.816	1050	0.61	99.0	False	False	1		
153.1391	3.033	1131	0.67	0.0	False	False	1		
153.1391	19.017	1054	0.0	inf	False	False	1		
153.1392	0.454	1336	0.77	0.0	False	False	1		
153.1393	11.829	1211	0.52	0.0	False	False	1		
153.1394	4.306	1064	0.0	inf	False	False	1		
153.1408	19.475	1080	0.0	inf	False	False	1		
154.121	19.047	1278	0.0	inf	False	False	1		
154.1233	15.944	1030	0.64	0.0	False	False	1		
154.1298	1.168	1015	0.0	inf	False	False	1		
155.0692	4.259	1078	0.0	inf	False	False	1		
155.0983	0.924	1476	0.0	inf	False	False	1		
155.1063	1.168	1617	0.0	inf	False	False	1		
155.1064	0.924	1045	0.0	inf	False	False	1		
155.1065	15.128	1626	0.0	inf	False	False	1		
155.107	8.193	1006	0.0	inf	False	False	1		
155.1072	12.499	2100	0.68	99.0	False	False	1		
155.1075	13.474	2020	0.0	inf	False	False	1		
155.1078	15.849	1018	0.64	0.0	False	False	1		
