m/z	RT	peak_height	Gaussian_similarity	asymmetry_factor	is_isotope	is_in_source_fragment	charge	MS2	MS2_scan_id
150.026	16.175	1264	0.0	inf	False	False	1		
150.0268	1.287	3138	0.0	inf	False	False	1		
150.0271	2.59	138550	0.87	4.0	False	False	1		
150.0343	2.59	16883	0.78	2.0	False	False	1		
150.0361	13.005	1047	0.0	inf	False	False	1		
150.0361	16.239	1074	0.0	inf	False	False	1		
150.0363	15.954	1883	0.0	inf	False	False	1		
150.0365	16.095	1070	0.0	inf	False	False	1		
150.0372	16.36	1091	0.0	inf	False	False	1		
150.0374	15.754	1029	0.0	inf	False	False	1		
150.0375	16.53	1122	0.0	inf	False	False	1		
150.0384	15.578	1123	0.0	inf	False	False	1		
150.0443	2.73	1714	0.75	0.0	False	False	1		
150.0515	2.59	8818	0.68	3.0	False	False	1		
150.0634	1.098	1583	0.0	inf	False	False	1		
150.0634	15.907	1238	0.0	inf	False	False	1		
150.0772	2.682	1130	0.0	inf	False	False	1		
150.0942	2.682	1361	0.0	inf	False	False	1		
150.112	0.963	1139	0.0	inf	False	False	1		
150.1265	2.682	1174	0.0	inf	False	False	1		
150.1352	13.534	3862	0.0	inf	False	False	1		
150.1353	12.957	1359	0.0	inf	False	False	1		
150.1358	14.869	8248	0.5	1.0	False	False	1		
150.136	12.768	1026	0.0	inf	False	False	1		
150.136	12.536	2515	0.0	inf	False	False	1		
150.1361	13.193	1390	0.0	inf	False	False	1		
150.1366	5.836	2950	0.0	inf	False	False	1		
151.0287	2.636	18328	0.89	1.0	False	False	1		
151.0373	2.636	2783	0.0	inf	False	False	1		
151.0758	11.241	1638	0.0	inf	False	False	1		
151.0759	16.594	1003	0.0	inf	False	False	1		
151.0761	1.098	1369	0.42	1.0	False	False	1		
151.0842	2.12	1430	0.55	99.0	False	False	1		
151.0951	2.214	1115	0.0	inf	False	False	1		
151.0957	0.963	2295	0.0	inf	False	False	1		
151.0958	3.545	1217	0.0	inf	False	False	1		
151.096	8.306	1227	0.54	0.0	False	False	1		
151.096	4.062	1051	0.0	inf	False	False	1		
151.096	3.356	1093	0.0	inf	False	False	1		
151.0962	2.544	1433	0.0	inf	False	False	1		
151.0963	18.749	1323	0.71	0.0	False	False	1		
151.0964	3.072	1419	0.0	inf	False	False	1		
151.0964	2.824	1146	0.0	inf	False	False	1		
151.0966	4.487	1170	0.0	inf	False	False	1		
151.0967	1.192	1755	0.0	inf	False	False	1		
151.0968	9.366	1043	0.0	inf	False	False	1		
151.0968	1.381	2817	0.0	inf	False	False	1		
151.0971	17.781	1009	0.0	inf	False	False	1		
151.0973	1.84	2513	0.0	inf	False	False	1		
151.0973	3.78	1651	0.0	inf	False	False	1		
151.0974	2.931	1137	0.0	inf	False	False	1		
151.0976	17.423	1427	0.0	inf	False	False	1		
151.0978	15.578	1155	0.0	inf	False	False	1		
151.0979	4.25	1133	0.0	inf	False	False	1		
151.0983	16.36	1069	0.0	inf	False	False	1		
151.1028	0.963	1002	0.0	inf	False	False	1		
