m/z	RT	peak_height	Gaussian_similarity	asymmetry_factor	is_isotope	is_in_source_fragment	charge	MS2	MS2_scan_id
150.0269	2.603	177893	0.84	2.0	False	False	1		
150.0275	1.271	3312	0.0	inf	False	False	1		
150.028	15.756	1123	0.0	inf	False	False	1		
150.0343	2.603	19245	0.96	99.0	False	False	1		
150.0352	15.203	1080	0.0	inf	False	False	1		
150.0361	16.232	1401	0.52	99.0	False	False	1		
150.0362	16.803	1149	0.0	inf	False	False	1		
150.0365	16.167	1273	0.0	inf	False	False	1		
150.0366	15.391	1161	0.0	inf	False	False	1		
150.0375	15.615	1482	0.0	inf	False	False	1		
150.0376	16.559	1318	0.61	0.0	False	False	1		
150.0455	2.741	1698	0.53	0.0	False	False	1		
150.0511	2.603	11172	0.8	4.0	False	False	1		
150.0637	16.05	1366	0.0	inf	False	False	1		
150.0647	1.13	1344	0.0	inf	False	False	1		
150.0881	2.694	1083	0.0	inf	False	False	1		
150.0892	2.154	1708	0.0	inf	False	False	1		
150.0903	0.935	1047	0.0	inf	False	False	1		
150.0906	13.108	1026	0.0	inf	False	False	1		
150.1124	0.946	1261	0.77	1.0	False	False	1		
150.1356	5.879	5394	0.0	inf	False	False	1		
150.1356	12.955	1744	0.0	inf	False	False	1		
150.1359	14.844	8260	0.73	99.0	False	False	1		
150.136	12.579	2409	0.18	1.0	False	False	1		
150.1361	13.509	3682	0.0	inf	False	False	1		
150.1362	12.157	1007	0.0	inf	False	False	1		
150.1367	2.154	1319	0.0	inf	False	False	1		
150.1368	13.262	1343	0.0	inf	False	False	1		
150.1371	12.72	1589	0.0	inf	False	False	1		
151.0151	6.518	1427	0.0	inf	False	False	1		
151.0284	2.603	17524	0.69	2.0	False	False	1		
151.0364	2.648	1760	0.0	inf	False	False	1		
151.0747	16.196	1359	0.0	inf	False	False	1		
151.0759	11.876	1052	0.0	inf	False	False	1		
151.0854	2.154	1479	0.0	inf	False	False	1		
151.0869	0.935	1414	0.0	inf	False	False	1		
151.0958	4.582	1357	0.0	inf	False	False	1		
151.0959	0.946	2908	0.0	inf	False	False	1		
151.0962	8.489	1248	0.63	1.0	False	False	1		
151.0962	1.178	2098	0.0	inf	False	False	1		
151.0964	19.394	1035	0.0	inf	False	False	1		
151.0966	2.355	1014	0.0	inf	False	False	1		
151.0966	2.497	1624	0.0	inf	False	False	1		
151.0967	1.779	2800	0.0	inf	False	False	1		
151.0969	18.664	1156	0.0	inf	False	False	1		
151.0972	0.727	1289	0.0	inf	False	False	1		
151.0972	17.261	1050	0.0	inf	False	False	1		
151.0974	9.617	1129	0.0	inf	False	False	1		
151.0976	19.029	1006	0.0	inf	False	False	1		
151.0978	16.262	1053	0.0	inf	False	False	1		
151.0978	19.914	1117	0.0	inf	False	False	1		
151.1108	3.024	1021	0.0	inf	False	False	1		
151.1109	1.919	1582	0.0	inf	False	False	1		
151.1112	18.776	1198	0.0	inf	False	False	1		
151.1113	15.604	1332	0.14	1.0	False	False	1		
151.1114	1.13	2427	0.85	3.0	False	False	1		
151.1119	9.664	1092	0.0	inf	False	False	1		
151.1119	17.861	1017	0.0	inf	False	False	1		
151.1123	12.814	2152	0.0	inf	False	False	1		
151.1123	2.202	1643	0.0	inf	False	False	1		
151.1124	2.402	1085	0.0	inf	False	False	1		
151.1126	12.533	4822	0.0	inf	False	False	1		
151.1129	2.788	1164	0.0	inf	False	False	1		
151.1136	13.167	1318	0.0	inf	False	False	1		
151.1461	5.879	3941	0.0	inf	False	False	1		
151.1462	13.555	2169	0.0	inf	False	False	1		
151.1472	15.06	1937	0.0	inf	False	False	1		
151.1472	13.215	1245	0.0	inf	False	False	1		
151.1481	15.391	1429	0.0	inf	False	False	1		
151.1483	1.271	1212	0.0	inf	False	False	1		
151.1483	12.627	4418	0.77	0.2	False	False	1		
151.1486	12.908	1375	0.0	inf	False	False	1		
151.1488	12.252	1087	0.0	inf	False	False	1		
151.1489	2.154	2163	0.89	99.0	False	False	1		
152.0316	2.648	2274	0.0	inf	False	False	1		
152.0676	2.202	1312	0.0	inf	False	False	1		
152.0705	0.946	1795	0.0	inf	False	False	1		
152.1074	0.935	1218	0.71	99.0	False	False	1		
152.1497	15.909	1037	0.0	inf	False	False	1		
152.151	5.879	6347	0.0	inf	False	False	1		
152.1511	15.391	1124	0.64	0.0	False	False	1		
152.1511	13.509	3666	0.0	inf	False	False	1		
152.1512	15.013	4863	0.0	inf	False	False	1		
152.1514	12.955	1339	0.0	inf	False	False	1		
152.1517	13.215	1148	0.0	inf	False	False	1		
153.0772	10.224	1024	0.0	inf	False	False	1		
153.0905	0.27	1039	0.0	inf	False	False	1		
153.0908	9.193	1454	0.0	inf	False	False	1		
153.091	0.994	2973	0.5	99.0	False	False	1		
153.0912	1.224	2528	0.0	inf	False	False	1		
153.0912	3.307	1014	0.0	inf	False	False	1		
153.0913	13.367	1080	0.0	inf	False	False	1		
153.0914	0.89	1407	0.0	inf	False	False	1		
153.0919	2.249	1095	0.0	inf	False	False	1		
153.0919	4.535	1378	0.72	99.0	False	False	1		
153.0922	16.274	1162	0.65	99.0	False	False	1		
153.0923	17.158	1052	0.0	inf	False	False	1		
153.0928	18.419	1017	0.0	inf	False	False	1		
153.0947	1.13	1178	0.0	inf	False	False	1		
153.1027	0.433	1009	0.0	inf	False	False	1		
153.1269	12.955	1487	0.0	inf	False	False	1		
153.1274	1.178	3724	0.94	3.0	False	False	1		
153.1382	16.582	1328	0.5	0.0	False	False	1		
153.1384	15.297	1047	0.0	inf	False	False	1		
153.1384	1.224	1748	0.0	inf	False	False	1		
153.1385	0.849	1004	0.0	inf	False	False	1		
153.139	7.921	1382	0.0	inf	False	False	1		
153.1391	19.914	1074	0.0	inf	False	False	1		
154.1225	0.946	1406	0.0	inf	False	False	1		
154.1234	3.59	1012	0.0	inf	False	False	1		
155.0708	4.346	1389	0.56	0.0	False	False	1		
155.0814	0.935	1589	0.0	inf	False	False	1		
155.1058	17.343	1016	0.0	inf	False	False	1		
155.1063	0.946	1041	0.0	inf	False	False	1		
155.1065	1.084	2136	0.07	3.0	False	False	1		
155.1067	12.814	1240	0.0	inf	False	False	1		
155.107	13.461	1743	0.0	inf	False	False	1		
155.1072	13.215	1002	0.0	inf	False	False	1		
155.1072	9.193	1011	0.0	inf	False	False	1		
155.1072	11.971	1035	0.0	inf	False	False	1		
155.1074	15.604	1103	0.48	99.0	False	False	1		
155.1076	12.487	1955	0.0	inf	False	False	1		
155.1177	0.946	2493	0.0	inf	False	False	1		
155.1543	0.994	14639	0.98	99.0	False	False	1		
156.0421	0.994	3993	0.46	0.5	False	False	1		
156.1377	9.428	1115	0.0	inf	False	False	1		
156.1377	15.556	1145	0.31	1.0	False	False	1		
156.1379	13.308	1191	0.0	inf	False	False	1		
156.1382	2.544	1590	0.0	inf	False	False	1		
156.1385	11.971	1105	0.0	inf	False	False	1		
156.1388	0.994	5719	0.5	3.0	False	False	1		
