m/z	RT	peak_height	Gaussian_similarity	asymmetry_factor	is_isotope	is_in_source_fragment	charge	MS2	MS2_scan_id
150.0264	11.824	1001	0.0	inf	False	False	1		
150.0267	2.592	147917	0.75	5.0	False	False	1		
150.0269	1.274	6134	0.0	inf	False	False	1		
150.0272	15.799	1041	0.68	99.0	False	False	1		
150.0344	2.638	19744	0.89	2.0	False	False	1		
150.035	1.274	1256	0.0	inf	False	False	1		
150.0362	16.533	1769	0.0	inf	False	False	1		
150.0364	16.196	1170	0.0	inf	False	False	1		
150.0364	15.575	1329	0.0	inf	False	False	1		
150.0367	13.441	1153	0.0	inf	False	False	1		
150.0367	15.681	1069	0.0	inf	False	False	1		
150.0368	16.078	1567	0.0	inf	False	False	1		
150.0369	15.74	1471	0.0	inf	False	False	1		
150.0371	16.42	1168	0.0	inf	False	False	1		
150.0379	15.127	1540	0.0	inf	False	False	1		
150.0384	16.604	1570	0.0	inf	False	False	1		
150.0443	2.732	1939	0.0	inf	False	False	1		
150.0512	2.592	9693	0.92	99.0	False	False	1		
150.0634	1.133	1232	0.0	inf	False	False	1		
150.0642	15.941	1080	0.68	99.0	False	False	1		
150.0887	2.11	1689	0.0	inf	False	False	1		
150.0918	2.685	1540	0.0	inf	False	False	1		
150.0922	0.937	1347	0.0	inf	False	False	1		
150.1127	0.948	2293	0.0	inf	False	False	1		
150.1134	2.685	1113	0.0	inf	False	False	1		
150.1286	2.685	1093	0.0	inf	False	False	1		
150.1352	13.488	3413	0.0	inf	False	False	1		
150.1352	14.985	6282	0.99	99.0	False	False	1		
150.1354	14.86	8501	0.0	inf	False	False	1		
150.1356	5.885	6968	0.0	inf	False	False	1		
150.1361	13.005	1721	0.0	inf	False	False	1		
150.1361	12.582	2589	0.0	inf	False	False	1		
150.137	13.205	1161	0.0	inf	False	False	1		
151.0292	2.592	17279	0.76	6.0	False	False	1		
151.0378	2.592	2799	0.0	inf	False	False	1		
151.0751	2.487	1160	0.0	inf	False	False	1		
151.0752	1.18	1582	0.0	inf	False	False	1		
151.0756	10.166	1354	0.0	inf	False	False	1		
151.0865	0.937	1871	0.0	inf	False	False	1		
151.0952	3.074	1247	0.0	inf	False	False	1		
151.0953	10.93	1214	0.0	inf	False	False	1		
151.0957	19.628	1309	0.0	inf	False	False	1		
151.0959	0.295	1675	0.0	inf	False	False	1		
151.096	9.087	1417	0.0	inf	False	False	1		
151.096	1.781	3117	0.0	inf	False	False	1		
151.0962	3.78	1442	0.0	inf	False	False	1		
151.0963	9.511	1173	0.0	inf	False	False	1		
151.0964	13.051	1240	0.0	inf	False	False	1		
151.0964	2.157	1510	0.0	inf	False	False	1		
151.0966	4.395	1465	0.0	inf	False	False	1		
151.0968	18.508	1171	0.56	99.0	False	False	1		
151.0968	5.566	1005	0.0	inf	False	False	1		
151.0968	2.545	1273	0.0	inf	False	False	1		
151.097	11.871	1565	0.62	0.0	False	False	1		
151.097	15.622	1177	0.0	inf	False	False	1		
151.097	17.596	1154	0.0	inf	False	False	1		
151.0971	3.404	1052	0.0	inf	False	False	1		
151.0973	0.996	3143	0.0	inf	False	False	1		
151.0973	1.367	2799	0.0	inf	False	False	1		
151.0973	1.133	2680	0.0	inf	False	False	1		
151.0973	16.381	1205	0.58	0.0	False	False	1		
151.0974	8.571	1041	0.0	inf	False	False	1		
151.0978	2.931	1332	0.0	inf	False	False	1		
151.0978	2.732	1234	0.0	inf	False	False	1		
151.11	8.125	1043	0.0	inf	False	False	1		
151.1101	0.083	1213	0.0	inf	False	False	1		
151.1108	3.262	1131	0.55	0.0	False	False	1		
151.1113	9.416	1126	0.0	inf	False	False	1		
151.1114	12.492	4360	0.0	inf	False	False	1		
151.1116	12.769	1961	0.0	inf	False	False	1		
151.1116	16.311	1180	0.0	inf	False	False	1		
151.1119	10.467	1159	0.52	0.0	False	False	1		
151.112	1.086	2770	0.79	99.0	False	False	1		
151.1122	11.492	1252	0.0	inf	False	False	1		
151.1122	13.441	1065	0.0	inf	False	False	1		
151.1124	2.11	1961	0.0	inf	False	False	1		
151.1135	13.005	1038	0.0	inf	False	False	1		
151.1451	15.079	1191	0.0	inf	False	False	1		
151.1475	12.398	1837	0.0	inf	False	False	1		
151.1476	2.204	1965	0.58	1.0	False	False	1		
151.1476	13.581	2257	0.0	inf	False	False	1		
151.1479	1.133	1800	0.0	inf	False	False	1		
151.1483	12.769	2019	0.84	2.0	False	False	1		
151.1484	12.582	5851	0.0	inf	False	False	1		
151.1484	12.258	1372	0.0	inf	False	False	1		
152.0209	0.948	1059	0.0	inf	False	False	1		
152.07	0.948	1552	0.0	inf	False	False	1		
152.0713	18.25	1039	0.0	inf	False	False	1		
152.1509	13.251	1682	0.81	0.0	False	False	1		
152.1511	5.885	5385	0.0	inf	False	False	1		
152.1512	13.535	2034	0.0	inf	False	False	1		
152.1515	12.911	1562	0.0	inf	False	False	1		
152.1518	14.939	6227	0.93	99.0	False	False	1		
153.0658	0.937	1075	0.0	inf	False	False	1		
153.0896	0.948	1527	0.0	inf	False	False	1		
153.0897	13.158	1075	0.67	0.0	False	False	1		
153.09	8.524	1086	0.0	inf	False	False	1		
153.0901	19.551	1464	0.0	inf	False	False	1		
153.0902	18.478	1211	0.0	inf	False	False	1		
153.0903	16.734	1076	0.69	99.0	False	False	1		
153.0904	10.355	1105	0.0	inf	False	False	1		
153.0904	0.884	1650	0.0	inf	False	False	1		
153.0905	2.533	1191	0.0	inf	False	False	1		
153.0905	12.306	1393	0.0	inf	False	False	1		
153.0905	16.3	1709	0.8	0.0	False	False	1		
153.0908	1.18	1740	0.28	1.0	False	False	1		
153.0908	9.463	1213	0.0	inf	False	False	1		
153.0913	1.829	1038	0.0	inf	False	False	1		
153.0915	3.545	1239	0.0	inf	False	False	1		
153.0917	18.12	1150	0.0	inf	False	False	1		
153.0919	4.442	1017	0.0	inf	False	False	1		
153.1026	18.15	1889	0.0	inf	False	False	1		
153.1026	0.937	1704	0.82	99.0	False	False	1		
153.1029	4.395	1050	0.0	inf	False	False	1		
153.127	13.005	1346	0.0	inf	False	False	1		
153.1276	1.18	4590	0.89	1.5	False	False	1		
153.1376	16.035	1563	0.66	1.0	False	False	1		
153.1378	18.379	1007	0.0	inf	False	False	1		
153.1384	4.819	1345	0.0	inf	False	False	1		
153.1386	7.983	1067	0.0	inf	False	False	1		
153.1387	12.306	1231	0.0	inf	False	False	1		
153.1388	4.017	1066	0.0	inf	False	False	1		
153.1388	9.321	1058	0.64	99.0	False	False	1		
153.139	1.086	1650	0.49	1.0	False	False	1		
153.139	19.368	1021	0.0	inf	False	False	1		
153.1391	13.099	1091	0.0	inf	False	False	1		
153.1393	16.42	1263	0.61	99.0	False	False	1		
153.1393	0.383	1005	0.0	inf	False	False	1		
153.1397	11.776	1446	0.0	inf	False	False	1		
153.1628	1.829	1001	0.0	inf	False	False	1		
153.1647	2.392	1259	0.0	inf	False	False	1		
154.1233	1.32	1032	0.6	0.0	False	False	1		
155.0696	4.347	2075	0.0	inf	False	False	1		
155.0706	12.582	2315	0.0	inf	False	False	1		
155.0708	4.112	1641	0.69	0.0	False	False	1		
155.0814	0.948	2197	0.0	inf	False	False	1		
155.099	0.907	1109	0.0	inf	False	False	1		
155.1002	3.026	1397	0.64	0.0	False	False	1		
155.1059	15.941	1162	0.0	inf	False	False	1		
155.106	18.442	1082	0.0	inf	False	False	1		
155.106	0.948	1083	0.0	inf	False	False	1		
155.1064	16.347	1191	0.0	inf	False	False	1		
155.1066	4.913	1123	0.0	inf	False	False	1		
155.1066	13.535	1891	0.0	inf	False	False	1		
155.1068	12.816	1403	0.0	inf	False	False	1		
155.1071	1.226	2395	0.19	0.5	False	False	1		
155.1078	12.492	1902	0.0	inf	False	False	1		
155.1083	3.875	1021	0.0	inf	False	False	1		
155.117	0.948	1955	0.0	inf	False	False	1		
155.1424	13.005	1034	0.0	inf	False	False	1		
155.1543	0.996	13300	0.91	4.0	False	False	1		
156.0423	0.996	4683	0.46	0.5	False	False	1		
156.0653	0.948	1086	0.0	inf	False	False	1		
156.1376	15.681	1228	0.0	inf	False	False	1		
