m/z	RT	peak_height	Gaussian_similarity	asymmetry_factor	is_isotope	is_in_source_fragment	charge	MS2	MS2_scan_id
155.16	1.131	1042	0.0	inf	False	False	1		
156.0414	1.085	2696	0.0	inf	False	False	1		
156.0416	1.225	1722	0.0	inf	False	False	1		
156.0432	0.947	2641	0.0	inf	False	False	1		
156.1375	15.358	1177	0.0	inf	False	False	1		
156.138	13.192	1327	0.0	inf	False	False	1		
156.1385	1.827	1062	0.0	inf	False	False	1		
156.1386	2.152	1863	0.0	inf	False	False	1		
156.1386	18.993	1245	0.0	inf	False	False	1		
156.1388	0.994	6240	0.61	1.0	False	False	1		
156.1388	15.925	1031	0.0	inf	False	False	1		
156.1389	10.259	1015	0.0	inf	False	False	1		
156.1398	3.306	1828	0.0	inf	False	False	1		
156.9651	2.342	1314	0.0	inf	False	False	1		
157.0127	1.366	2564	0.0	inf	False	False	1		
157.0165	1.319	1529	0.0	inf	False	False	1		
157.0792	15.688	1277	0.0	inf	False	False	1		
157.0849	0.947	1008	0.0	inf	False	False	1		
157.1012	12.628	2445	0.0	inf	False	False	1		
157.1223	13.475	1484	0.0	inf	False	False	1		
157.1322	19.748	1050	0.0	inf	False	False	1		
157.1329	3.495	1170	0.0	inf	False	False	1		
157.133	6.481	1606	0.0	inf	False	False	1		
157.133	8.323	1278	0.24	1.0	False	False	1		
157.1331	0.571	1412	0.7	0.0	False	False	1		
157.1332	10.364	1197	0.0	inf	False	False	1		
157.1332	19.526	1129	0.0	inf	False	False	1		
157.1332	4.487	1125	0.0	inf	False	False	1		
157.1332	0.155	1145	0.0	inf	False	False	1		
157.1332	17.19	1524	0.0	inf	False	False	1		
157.1336	4.25	1143	0.0	inf	False	False	1		
157.1338	0.856	1293	0.56	99.0	False	False	1		
157.134	16.799	1562	0.0	inf	False	False	1		
157.134	17.115	1168	0.0	inf	False	False	1		
157.1341	16.668	1154	0.0	inf	False	False	1		
157.1343	16.937	1462	0.0	inf	False	False	1		
157.1343	18.948	1429	0.0	inf	False	False	1		
157.1344	2.821	1331	0.0	inf	False	False	1		
157.1344	18.76	1230	0.0	inf	False	False	1		
157.1344	19.283	1257	0.0	inf	False	False	1		
157.1345	4.77	1330	0.0	inf	False	False	1		
157.1345	18.468	1313	0.0	inf	False	False	1		
157.1346	9.135	1006	0.0	inf	False	False	1		
157.1346	17.888	1376	0.0	inf	False	False	1		
157.1349	16.511	1223	0.0	inf	False	False	1		
157.135	18.86	1118	0.0	inf	False	False	1		
157.1351	11.59	1091	0.0	inf	False	False	1		
157.1352	19.185	1128	0.0	inf	False	False	1		
157.1356	19.424	1373	0.0	inf	False	False	1		
157.1356	4.061	1148	0.0	inf	False	False	1		
157.1684	11.777	1011	0.0	inf	False	False	1		
157.1685	0.313	1352	0.0	inf	False	False	1		
157.1693	18.222	1199	0.0	inf	False	False	1		
157.1694	2.774	1393	0.0	inf	False	False	1		
157.1695	0.88	1388	0.36	1.0	False	False	1		
157.1695	18.531	1362	0.0	inf	False	False	1		
157.1696	0.047	1851	0.0	inf	False	False	1		
157.1697	17.759	1221	0.0	inf	False	False	1		
157.1697	16.834	1039	0.0	inf	False	False	1		
157.1698	0.513	1277	0.0	inf	False	False	1		
157.1698	17.375	1127	0.0	inf	False	False	1		
157.17	4.25	1211	0.0	inf	False	False	1		
157.17	0.248	1034	0.0	inf	False	False	1		
157.17	17.305	1056	0.0	inf	False	False	1		
157.1701	4.487	1291	0.0	inf	False	False	1		
157.1702	10.462	1190	0.72	0.0	False	False	1		
157.1702	3.731	1349	0.56	0.0	False	False	1		
157.1703	3.259	1443	0.0	inf	False	False	1		
157.1704	17.115	1172	0.0	inf	False	False	1		
157.1704	18.042	1570	0.0	inf	False	False	1		
157.1704	2.388	1046	0.0	inf	False	False	1		
157.1705	17.918	1521	0.0	inf	False	False	1		
157.1706	16.99	1190	0.0	inf	False	False	1		
157.1706	19.026	1136	0.19	1.0	False	False	1		
157.171	3.07	1190	0.64	0.0	False	False	1		
157.171	4.108	1262	0.0	inf	False	False	1		
157.171	8.993	1390	0.0	inf	False	False	1		
157.1711	19.458	1412	0.53	99.0	False	False	1		
157.1716	17.573	1329	0.0	inf	False	False	1		
157.172	11.777	1369	0.0	inf	False	False	1		
158.118	0.935	1588	0.72	99.0	False	False	1		
158.1535	1.225	1009	0.64	0.0	False	False	1		
158.9632	15.629	1254	0.0	inf	False	False	1		
158.9638	16.267	1514	0.0	inf	False	False	1		
158.9642	16.369	1055	0.0	inf	False	False	1		
158.9644	16.194	1200	0.0	inf	False	False	1		
158.9646	15.83	1155	0.0	inf	False	False	1		
159.0664	1.873	1692	0.0	inf	False	False	1		
159.1165	15.972	1008	0.0	inf	False	False	1		
159.1168	12.628	12086	0.91	0.71	False	False	1		
159.1169	0.947	2459	0.9	1.0	False	False	1		
159.1172	15.122	1514	0.4	1.0	False	False	1		
159.1176	4.912	1132	0.0	inf	False	False	1		
159.118	3.07	1168	0.66	99.0	False	False	1		
160.042	1.506	4296	0.0	inf	False	False	1		
