m/z	RT
675.6777	3.315
673.661	14.884
723.6414	12.628
423.3638	1.813
732.5553	5.705
791.5642	3.066
566.5712	9.281
368.3403	12.628
681.6026	12.537
686.6431	13.514
856.8812	14.466
651.6527	11.535
1325.3394	14.884
370.3558	14.608
766.6774	7.089
877.8654	14.499
1326.3438	14.884
1448.1406	7.372
1325.3212	14.97
1316.2753	14.577
914.7826	12.487
1344.9361	6.701
889.8062	14.382
1294.2245	14.912
1316.2607	14.574
272.2226	0.994
1222.0986	9.758
1223.1022	9.993
1295.367	11.306
1023.9761	14.912
1403.1852	12.483
1024.9831	14.884
864.8033	14.698
1368.3848	11.872
1323.3073	14.884
1026.9944	14.844
1324.3135	14.967
880.8346	15.108
1293.2208	14.912
795.611	6.609
1443.4046	12.106
913.799	13.95
894.7566	13.411
923.7907	13.828
1307.239	14.924
773.6548	9.615
834.7566	14.041
926.8185	14.382
1404.189	12.483
1021.6614	6.29
756.5555	4.864
688.6044	14.043
781.5588	4.858
879.813	14.499
668.6068	12.959
670.6224	13.514
876.8306	14.209
886.7877	14.083
858.602	5.14
1347.1957	12.628
661.5941	7.188
619.5955	9.993
766.6937	13.419
595.5897	7.555
762.6024	8.514
1445.403	12.106
842.6397	6.286
787.6605	7.42
922.788	14.034
1383.9557	6.701
814.6337	8.844
915.8141	14.209
1348.1993	12.627
858.8287	14.426
723.5149	6.701
1324.334	14.912
538.54	7.527
891.822	14.698
1295.1513	12.618
616.5824	9.758
803.5449	2.631
1022.7208	1.594
1317.2562	14.569
1222.3475	9.657
878.746	12.295
1147.329	8.387
667.6709	14.577
770.5854	5.375
1294.1481	12.628
864.6241	5.278
1324.2708	15.279
755.5692	5.375
793.7126	13.461
840.6243	5.626
798.5657	3.209
726.6598	12.952
783.6253	5.657
1306.2324	14.884
917.8008	12.814
484.3344	1.654
849.8272	14.17
1297.3657	11.306
1384.9594	6.701
951.8953	15.862
1085.0808	6.785
1221.3484	9.657
371.3646	14.884
825.7756	14.431
784.5777	5.048
772.5866	6.424
732.611	7.148
1148.3281	8.387
798.5662	3.397
768.7093	13.78
846.6713	8.67
664.5761	12.533
510.3563	1.766
1305.2278	14.884
1294.3657	11.306
787.6415	7.392
810.5932	5.792
872.8824	13.913
908.7844	12.665
1389.1971	12.528
413.2671	2.603
494.3251	1.365
804.553	5.832
813.6771	8.844
740.6405	12.528
1319.2218	14.577
901.844	14.252
797.7441	14.127
830.8067	14.426
370.3558	14.343
746.6075	8.078
1372.3836	11.872
482.3615	1.813
1146.3284	8.387
870.6712	7.779
384.314	2.106
1327.3251	14.884
789.6773	10.749
811.6057	6.382
706.6149	12.581
877.8439	14.575
690.5641	5.048
815.6929	11.074
1220.3464	9.657
373.3746	14.884
730.5396	4.769
264.2691	6.785
1290.193	14.501
927.8207	14.382
807.5745	4.817
1289.1894	14.501
826.5974	4.577
647.5128	11.07
668.6068	13.22
496.3877	1.629
676.5485	4.481
800.6736	9.849
664.6036	12.618
600.5958	6.914
1223.1029	9.75
1442.4042	12.106
242.3191	1.026
843.5851	5.143
800.5807	3.586
297.2432	12.96
703.6304	5.701
723.6247	7.416
545.3442	1.365
903.8122	14.288
338.3425	3.315
648.5812	12.627
980.6739	1.629
765.6716	7.193
721.6258	12.767
541.5885	6.872
1322.3086	14.912
542.5866	6.785
802.5572	3.021
1446.4026	12.106
875.8282	14.342
835.6684	10.613
760.6118	5.929
768.6272	7.089
664.576	12.767
295.2274	12.537
1279.2122	14.912
915.7857	12.487
849.8126	14.211
887.7902	14.083
525.5355	6.785
851.7815	14.174
906.7686	12.342
760.6417	7.058
782.571	5.375
622.5442	9.993
1047.7368	1.998
