m/z	RT	peak_height	Gaussian_similarity	asymmetry_factor	is_isotope	is_in_source_fragment	charge	MS2	MS2_scan_id
150.0261	14.495	1027	0.0	inf	False	False	1		
150.0262	14.732	1320	0.0	inf	False	False	1		
150.0264	13.745	1184	0.0	inf	False	False	1		
150.0268	16.263	1407	0.0	inf	False	False	1		
150.0269	15.719	1086	0.0	inf	False	False	1		
150.0272	15.112	1073	0.0	inf	False	False	1		
150.036	16.619	1262	0.68	0.0	False	False	1		
150.0362	15.302	1267	0.0	inf	False	False	1		
150.0366	15.974	1440	0.0	inf	False	False	1		
150.0366	12.64	1299	0.0	inf	False	False	1		
150.0366	15.874	1047	0.0	inf	False	False	1		
150.0367	16.08	1053	0.0	inf	False	False	1		
150.0367	14.732	1100	0.0	inf	False	False	1		
150.0368	14.542	1052	0.0	inf	False	False	1		
150.037	16.367	1637	0.0	inf	False	False	1		
150.0371	15.635	1504	0.0	inf	False	False	1		
150.0372	13.005	1342	0.0	inf	False	False	1		
150.0373	15.761	1392	0.0	inf	False	False	1		
150.0375	16.227	1343	0.0	inf	False	False	1		
150.0377	8.254	1058	0.0	inf	False	False	1		
150.0379	12.804	1331	0.0	inf	False	False	1		
150.0379	14.259	1061	0.0	inf	False	False	1		
150.0384	17.157	1016	0.0	inf	False	False	1		
150.0547	0.935	2890	0.0	inf	False	False	1		
150.0901	0.935	3339	0.0	inf	False	False	1		
150.1369	14.637	1116	0.0	inf	False	False	1		
151.0152	2.366	3443	0.0	inf	False	False	1		
151.0153	4.639	4887	0.56	1.0	False	False	1		
151.0153	1.813	7166	0.48	5.0	False	False	1		
151.0157	1.579	7595	0.52	4.0	False	False	1		
151.0157	2.96	2430	0.0	3.0	False	False	1		
151.0158	4.78	3398	0.93	6.0	False	False	1		
151.0158	2.635	2778	0.0	inf	False	False	1		
151.016	4.181	7197	0.85	0.6	False	False	1		
151.0169	5.641	1164	0.05	1.0	False	False	1		
151.0218	4.228	1386	0.0	inf	False	False	1		
151.023	1.673	1317	0.68	99.0	False	False	1		
151.0757	8.453	1108	0.0	inf	False	False	1		
151.0955	11.14	1045	0.0	inf	False	False	1		
151.0958	7.782	1176	0.0	inf	False	False	1		
151.0959	17.327	1199	0.0	inf	False	False	1		
151.0959	17.016	1127	0.0	inf	False	False	1		
151.096	18.54	1184	0.49	99.0	False	False	1		
151.096	0.68	1329	0.0	inf	False	False	1		
151.0962	5.565	1000	0.0	inf	False	False	1		
151.0963	11.616	1245	0.0	inf	False	False	1		
151.0963	9.602	1000	0.0	inf	False	False	1		
151.0964	6.672	1224	0.58	0.0	False	False	1		
151.0967	0.269	1124	0.26	1.0	False	False	1		
151.0968	8.537	1250	0.0	inf	False	False	1		
151.0968	16.43	1158	0.7	99.0	False	False	1		
151.0969	2.366	1248	0.0	inf	False	False	1		
151.0971	9.477	1077	0.0	inf	False	False	1		
151.0972	18.096	1242	0.0	inf	False	False	1		
151.0973	1.72	1548	0.0	inf	False	False	1		
151.0973	12.64	1254	0.0	inf	False	False	1		
151.0974	9.891	1003	0.0	inf	False	False	1		
151.0975	15.838	1321	0.51	99.0	False	False	1		
151.0976	9.926	1125	0.0	inf	False	False	1		
151.0982	4.03	1083	0.0	inf	False	False	1		
151.1109	3.31	1048	0.0	inf	False	False	1		
151.1119	12.64	1005	0.0	inf	False	False	1		
151.1119	15.207	1267	0.0	inf	False	False	1		
151.112	17.087	1083	0.0	inf	False	False	1		
151.1121	8.312	1195	0.0	inf	False	False	1		
151.1121	15.761	1323	0.64	99.0	False	False	1		
151.1127	0.468	1203	0.0	inf	False	False	1		
151.113	8.121	1010	0.0	inf	False	False	1		
151.1474	14.791	1262	0.0	inf	False	False	1		
151.1476	13.887	1874	0.0	inf	False	False	1		
152.0706	0.935	10919	0.0	inf	False	False	1		
152.0778	0.906	1378	0.0	inf	False	False	1		
152.1071	17.361	1165	0.0	inf	False	False	1		
152.1079	12.26	1130	0.0	inf	False	False	1		
153.076	9.067	1011	0.0	inf	False	False	1		
153.0776	3.148	1193	0.0	inf	False	False	1		
153.0898	0.848	2620	0.0	inf	False	False	1		
153.0899	14.495	1078	0.0	inf	False	False	1		
153.09	18.78	1174	0.0	inf	False	False	1		
153.09	6.908	1044	0.0	inf	False	False	1		
153.0903	11.217	1183	0.0	inf	False	False	1		
153.0903	8.196	1219	0.0	inf	False	False	1		
153.091	12.201	1202	0.0	inf	False	False	1		
153.0911	6.376	1199	0.0	inf	False	False	1		
153.0922	12.804	1259	0.0	inf	False	False	1		
153.0922	15.302	1153	0.69	99.0	False	False	1		
153.1032	11.097	1355	0.0	inf	False	False	1		
153.1037	6.672	1036	0.0	inf	False	False	1		
153.1265	13.887	1048	0.68	0.0	False	False	1		
153.1374	10.24	1113	0.0	inf	False	False	1		
153.1375	17.216	1092	0.0	inf	False	False	1		
153.1378	15.974	1578	0.81	0.0	False	False	1		
153.1378	0.691	1202	0.0	inf	False	False	1		
153.1379	9.349	1196	0.71	0.0	False	False	1		
153.1379	12.734	1389	0.71	0.0	False	False	1		
153.138	14.306	1261	0.0	inf	False	False	1		
