m/z	RT	peak_height	Gaussian_similarity	asymmetry_factor	is_isotope	is_in_source_fragment	charge	MS2	MS2_scan_id
157.1327	13.522	1107	0.0	inf	False	False	1		
157.1328	3.122	1404	0.57	1.0	False	False	1		
157.1332	0.238	1151	0.0	inf	False	False	1		
157.1335	16.976	1027	0.0	inf	False	False	1		
157.1335	9.111	1499	0.0	inf	False	False	1		
157.1336	0.544	1156	0.0	inf	False	False	1		
157.1338	0.673	1080	0.0	inf	False	False	1		
157.1338	17.349	1338	0.16	1.0	False	False	1		
157.1339	6.741	1192	0.52	0.0	False	False	1		
157.134	19.017	1167	0.0	inf	False	False	1		
157.134	19.174	1368	0.0	inf	False	False	1		
157.134	16.74	1058	0.0	inf	False	False	1		
157.134	8.101	1352	0.44	1.0	False	False	1		
157.134	18.284	1209	0.0	inf	False	False	1		
157.1341	1.681	1220	0.0	inf	False	False	1		
157.1342	18.932	1530	0.0	inf	False	False	1		
157.1342	17.179	1149	0.0	inf	False	False	1		
157.1344	0.36	1442	0.0	inf	False	False	1		
157.1344	18.55	1299	0.0	inf	False	False	1		
157.1344	18.162	1592	0.0	inf	False	False	1		
157.1344	4.877	1115	0.0	inf	False	False	1		
157.1346	11.13	1082	0.33	1.0	False	False	1		
157.1347	0.725	1185	0.0	inf	False	False	1		
157.1348	5.544	1077	0.0	inf	False	False	1		
157.1349	10.163	1400	0.53	0.0	False	False	1		
157.1349	16.646	1193	0.0	inf	False	False	1		
157.1352	19.23	1109	0.0	inf	False	False	1		
157.1352	0.302	1093	0.0	inf	False	False	1		
157.1352	18.801	1289	0.0	inf	False	False	1		
157.1353	19.649	1302	0.0	inf	False	False	1		
157.1354	18.436	1010	0.0	inf	False	False	1		
157.1356	19.479	1156	0.0	inf	False	False	1		
157.1356	4.086	1425	0.0	inf	False	False	1		
157.136	18.672	1019	0.0	inf	False	False	1		
157.1691	8.969	1202	0.0	inf	False	False	1		
157.1692	18.362	1248	0.0	inf	False	False	1		
157.1692	9.468	1098	0.0	inf	False	False	1		
157.1696	15.677	1146	0.0	inf	False	False	1		
157.1699	10.023	1167	0.45	99.0	False	False	1		
157.1699	1.311	1308	0.0	inf	False	False	1		
157.17	18.284	1205	0.0	inf	False	False	1		
157.17	6.386	1282	0.0	inf	False	False	1		
157.17	4.086	1194	0.43	0.0	False	False	1		
157.17	9.111	1207	0.0	inf	False	False	1		
157.1702	3.17	1095	0.0	inf	False	False	1		
157.1702	18.55	1283	0.0	inf	False	False	1		
157.1702	6.923	1667	0.0	inf	False	False	1		
157.1703	2.422	1360	0.0	inf	False	False	1		
157.1703	18.725	1087	0.0	inf	False	False	1		
157.1704	2.981	1327	0.0	inf	False	False	1		
157.1706	19.23	1307	0.0	inf	False	False	1		
157.1706	8.175	1289	0.0	inf	False	False	1		
157.1706	18.097	1033	0.0	inf	False	False	1		
157.1706	0.144	1132	0.0	inf	False	False	1		
157.1707	19.739	1465	0.0	inf	False	False	1		
157.1707	9.546	1074	0.0	inf	False	False	1		
157.1708	8.575	1126	0.0	inf	False	False	1		
157.1708	16.74	1202	0.67	99.0	False	False	1		
157.171	2.611	1006	0.0	inf	False	False	1		
157.171	11.49	1335	0.53	0.0	False	False	1		
157.171	7.568	1254	0.0	inf	False	False	1		
157.1712	18.899	1511	0.0	inf	False	False	1		
157.1713	17.673	1501	0.0	inf	False	False	1		
157.1714	0.832	1040	0.0	inf	False	False	1		
157.1715	9.33	1028	0.0	inf	False	False	1		
157.1716	0.509	1180	0.48	0.0	False	False	1		
157.1716	19.543	1356	0.0	inf	False	False	1		
157.1719	19.415	1155	0.0	inf	False	False	1		
157.1722	9.189	1268	0.0	inf	False	False	1		
157.1723	12.246	1421	0.0	inf	False	False	1		
158.1359	4.039	1096	0.0	inf	False	False	1		
158.1534	14.766	1030	0.0	inf	False	False	1		
158.1545	15.503	1015	0.0	inf	False	False	1		
158.9637	15.798	1287	0.54	0.0	False	False	1		
158.9645	15.444	1186	0.0	inf	False	False	1		
158.9647	16.246	1415	0.3	0.33	False	False	1		
158.9648	13.712	1195	0.64	1.0	False	False	1		
158.9649	15.987	1211	0.0	inf	False	False	1		
158.9651	15.964	2401	0.0	inf	False	False	1		
158.9661	15.911	1038	0.0	inf	False	False	1		
159.1173	14.648	2603	0.0	inf	False	False	1		
