m/z	RT	isotope_state	is_isotope	is_in_source_fragment	MS2	P_RT-A1	P_RT-A2
1302.283	15.033	M+0	False	False		46973	33610
638.6096	7.955	M+0	False	False	283.2635;0.3802|284.2641;0.0894|311.2968;0.4395|312.2993;0.0909	46941	42775
161.1329	14.038	M+0	False	True		46905	43235
698.5005	1.776	M+0	False	False		42931	46893
478.7641	1.579	M+1	True	False		46754	39433
1287.8605	13.712	M+0	False	False		21568	46585
594.3783	2.134	M+0	False	False		46508	43046
1244.3646	13.085	M+0	False	False		40854	46445
668.4425	1.587	M+2	True	False		43587	46416
513.3136	1.161	M+1	True	False		46399	45027
1169.3443	12.885	M+0	False	False	483.2387;1.0	35346	46360
269.1631	2.319	M+0	False	False	210.0893;1.0	46338	46157
343.3122	12.454	M+2	True	True		42609	46325
955.274	12.932	M+2	True	False		26370	46239
850.788	14.459	M+0	False	False	551.5027;0.2474|552.5133;0.0715|577.5224;0.4991|578.5246;0.1819	40800	46233
1393.4009	13.428	M+0	False	False		40650	46185
688.5646	14.038	M+0	False	False		46127	41025
800.593	5.19	M+0	False	False	184.0739;0.2113|756.5565;0.4776|757.5613;0.2722|759.568;0.039	46109	43553
1214.3412	13.57	M+1	True	False		27138	46091
792.5164	2.866	M+0	False	False	609.4514;0.3511|733.4427;0.4827|734.448;0.1662	46064	37117
695.6464	15.08	M+0	False	False	582.5565;1.0	44455	45994
623.4078	2.728	M+0	False	False		45919	36992
610.6089	9.254	M+1	True	False		45874	37477
682.4663	2.046	M+0	False	False		45815	44340
828.5875	2.866	M+0	False	False	184.0751;0.5596|754.5352;0.0627|770.5374;0.1683|771.5416;0.2094	45744	40234
789.574	8.74	M+0	False	False		45735	27765
775.5694	3.786	M+1	True	False	184.0742;0.7058|185.077;0.2942	45321	45608
780.5438	5.261	M+1	True	False		45459	45588
524.3719	2.008	M+0	False	False	184.074;1.0	45418	45448
802.6079	5.9	M+0	False	False	184.0741;0.0424|758.5694;0.5485|759.5778;0.2871|760.5724;0.1221	44193	45412
210.0896	1.626	M+0	False	True	151.0176;1.0	45329	45138
766.7297	7.926	M+0	False	False	184.072;1.0	43090	45310
655.5997	11.999	M+0	False	False	439.3764;1.0	45264	38483
1354.3531	12.542	M+0	False	False		23247	45228
709.533	14.128	M+0	False	False	369.3522;0.8318|370.3552;0.1682	43190	45203
893.279	4.027	M+2	True	False		18318	45197
992.6046	1.349	M+1	True	False		45166	43475
653.6598	11.52	M+2	True	False		45075	44914
1320.381	13.239	M+1	True	False		33660	44969
615.7114	11.764	M+0	False	False		58780	44906
901.7279	13.708	M+0	False	False	812.7725;1.0	44857	42345
1197.4403	10.415	M+0	False	False		41406	44762
1430.3915	13.57	M+0	False	False		38043	44679
652.42	1.532	M+0	False	False	184.0747;1.0	44639	42167
818.6918	7.196	M+0	False	False		43961	44614
706.5397	5.591	M+0	False	False	184.0747;1.0	39588	44581
837.5249	4.227	M+1	True	False		44534	42004
878.5432	1.961	M+0	False	False		42620	44486
1323.9359	3.505	M+2	True	False		46893	44482
1412.4104	11.903	M+1	True	False		15958	44476
721.5091	7.882	M+0	False	False		39156	44436
596.6378	7.521	M+1	True	False		39409	44423
455.2284	1.026	M+1	True	False		44370	43981
668.5264	2.887	M+0	False	False	571.473;1.0	42935	44319
1174.8331	13.475	M+0	False	False		23606	44281
759.2238	8.876	M+1	True	False		36107	44262
624.6706	9.254	M+1	True	False		44134	40648
1263.9841	13.333	M+3	True	False		40929	44123
1206.3162	12.092	M+0	False	False		17926	44077
669.6156	12.545	M+0	False	False		43945	40909
492.2132	0.991	M+0	False	False	433.1352;1.0	31240	43891
688.4177	1.579	M+0	False	False		43785	40503
627.5846	12.454	M+2	True	False		39550	43757
1171.3445	12.885	M+1	True	False		42479	43746
1337.1888	14.604	M+0	False	False		43722	39698
721.5066	3.68	M+0	False	False	634.3612;1.0	43691	35711
792.7896	10.503	M+0	False	False		43668	52567
628.589	12.199	M+0	False	False	327.2908;0.2207|341.3066;0.2668|593.5548;0.2885|594.5578;0.2241	42241	43663
852.5245	1.532	M+0	False	False	184.0752;0.8849|816.4986;0.1151	43569	40192
678.4692	4.421	M+0	False	False		43408	43550
1279.3364	12.363	M+0	False	False		16767	43543
1133.3156	12.885	M+0	False	False		37371	43515
408.2636	1.484	M+0	False	False		43497	38524
785.5177	1.905	M+1	True	True		43410	43309
437.411	2.96	M+0	False	True	153.1378;0.1105|154.1237;0.1099|155.1259;0.1254|171.1487;0.1367|324.3266;0.2082|369.3848;0.3093	43352	38049
678.4714	1.867	M+0	False	False		41182	43351
736.5773	6.963	M+2	True	False		41029	43310
1286.8618	13.712	M+0	False	False		24033	43170
1392.4023	13.428	M+0	False	False		37170	43136
1410.4126	11.903	M+0	False	False		18487	43129
952.276	12.944	M+0	False	False		21986	43052
1191.3533	8.356	M+2	True	False		21780	43018
818.2602	3.24	M+1	True	False		14747	42932
1196.4369	10.375	M+0	False	False		42930	36634
518.325	1.255	M+0	False	False	184.0736;1.0	42914	38587
676.4563	1.913	M+0	False	False	184.0743;0.889|185.0776;0.111	36730	42910
691.6643	14.038	M+2	True	True		42860	37783
720.4462	1.217	M+0	False	False	184.0746;1.0	41658	42828
820.5344	2.226	M+0	False	False		42828	36583
408.2813	1.493	M+0	False	False		36163	42802
1338.1939	14.604	M+1	True	False		42795	41467
1249.3522	13.618	M+0	False	False		24495	42764
721.5084	8.506	M+0	False	False	291.2342;1.0	39937	42584
1151.3259	8.403	M+0	False	False		18278	42555
1320.957	14.938	M+0	False	False		42468	39996
642.5669	12.454	M+0	False	False		42082	42457
789.5486	3.054	M+1	True	False		42422	40099
672.5732	13.428	M+0	False	False	255.2113;0.2478|257.2294;0.1257|353.3199;0.4514|354.3278;0.175	33419	42395
696.531	2.179	M+0	False	False		42370	40222
834.515	1.54	M+0	False	False	184.0752;0.8605|818.516;0.1395	40523	42325
682.4881	6.693	M+2	True	False		40577	42319
1089.0427	15.583	M+0	False	False	371.3636;0.1127|372.3672;0.1715|789.7634;0.505|790.7723;0.2108	0	42288
649.5665	12.545	M+1	True	False		42263	36094
822.5045	2.187	M+0	False	False		38166	42220
1001.2894	5.988	M+2	True	False	355.0731;0.1888|356.073;0.1637|357.069;0.1428|358.0692;0.2081|372.1079;0.1449|429.089;0.1515	17852	42214
414.2811	1.587	M+0	False	False		39252	42163
1205.3172	12.092	M+0	False	False		16509	42124
1020.1272	14.896	M+0	False	False		41963	42088
691.5441	13.708	M+0	False	False		41844	37485
758.5286	5.979	M+0	False	False		41827	39207
711.6498	13.947	M+1	True	False		41737	39945
596.5524	2.1	M+0	False	False		41363	41666
806.5105	3.309	M+0	False	False	184.0753;0.9296|185.076;0.0704	41623	41454
808.5216	3.101	M+2	True	False	184.0743;0.8903|185.0784;0.1097	41601	40142
694.4668	1.867	M+0	False	False		38135	41527
1353.3547	12.542	M+0	False	False		20390	41418
426.2955	1.72	M+1	True	False		41391	33617
788.4645	1.821	M+0	False	False		37921	41385
778.2338	3.228	M+2	True	False		17325	41358
872.5062	1.626	M+0	False	False		41264	36032
680.4821	12.199	M+0	False	False	607.3888;0.0726|663.4589;0.679|664.4602;0.2484	39675	41171
818.519	1.587	M+0	False	False		40333	41157
758.7088	5.19	M+0	False	False		41107	37247
771.577	7.127	M+0	False	False		41011	35682
413.2743	1.579	M+0	False	False		40921	38647
412.3909	2.281	M+0	False	False	296.2948;0.3109|341.3548;0.6891	39401	40903
1039.923	14.038	M+0	False	False		40892	33585
386.3794	14.986	M+0	False	False	369.3522;0.8195|370.3586;0.1805	40781	37679
1251.3505	13.618	M+1	True	False		24866	40689
1235.1561	14.707	M+1	True	False	372.3704;0.3092|373.3762;0.4269|564.5116;0.2639	0	40628
370.3935	14.938	M+1	True	False		40512	39589
1320.0333	14.938	M+0	False	False		40458	37009
667.5137	2.981	M+1	True	False		39522	40366
857.516	1.813	M+1	True	False		40339	38564
1282.3527	13.239	M+0	False	False		29211	40230
1327.2056	15.081	M+2	True	False		40134	38440
1302.4073	14.896	M+0	False	False		38747	40037
1204.9053	8.66	M+0	False	False		40034	39915
708.5775	3.55	M+0	False	False		39010	40006
1076.3083	7.149	M+3	True	False		17780	39966
768.4174	4.946	M+0	False	False		39861	35903
828.5899	10.549	M+0	False	False	162.9553;0.5541|769.5186;0.4459	39814	38839
787.6056	7.38	M+1	True	False		37269	39769
846.5979	2.819	M+0	False	False	788.5423;0.5657|789.5457;0.4343	39728	39539
621.5352	11.809	M+0	False	True		39648	38760
760.5444	7.104	M+0	False	False		39366	39634
721.509	3.101	M+0	False	False		39604	38779
931.4946	1.026	M+2	True	False		39591	35787
548.5046	12.64	M+0	False	False	167.0708;0.2435|419.3515;0.2425|420.357;0.514	39537	37424
803.562	2.981	M+2	True	False		32189	39487
1095.3248	12.636	M+0	False	False		33428	39447
550.6298	9.082	M+0	False	False		39391	39417
1235.8464	4.957	M+0	False	False		39413	32351
1317.3819	13.239	M+0	False	False		30420	39376
805.5422	1.626	M+1	True	False		39348	38822
684.6342	12.454	M+1	True	False		37003	39318
1278.3345	12.363	M+0	False	False	341.0158;0.032|355.0716;0.0767|356.0709;0.0421|371.1047;0.3677|372.1018;0.1012|373.1019;0.0713|429.0894;0.0614|445.1192;0.2087|446.1242;0.0389	17368	39280
1428.373	12.731	M+0	False	False		20764	39232
718.4659	2.226	M+0	False	False		39225	37338
1162.8589	7.127	M+0	False	False		39220	37780
721.507	3.403	M+0	False	False	184.0714;1.0	39183	38039
1208.4319	10.444	M+0	False	False		37878	39165
624.5867	2.728	M+0	False	False		39111	39094
1243.3635	13.038	M+0	False	False		38454	39030
478.245	0.991	M+2	True	False		30513	39022
1356.372	13.428	M+0	False	False		32577	38962
1288.3603	13.712	M+1	True	False		20628	38907
269.1636	2.659	M+0	False	False	151.0153;1.0	35264	38868
1286.3616	13.712	M+0	False	False		18134	38835
1207.4279	10.375	M+0	False	False		38817	34730
878.758	12.731	M+0	False	False		17329	38815
1159.8359	5.988	M+0	False	False		37575	38815
1066.8029	13.192	M+2	True	False		19423	38794
1246.3632	13.085	M+1	True	False		31661	38724
1300.3639	11.251	M+0	False	False		15141	38716
722.5603	6.693	M+1	True	False		36087	38692
717.4904	2.134	M+1	True	False		38684	33084
1323.8727	13.806	M+0	False	False		21088	38632
879.4932	1.729	M+1	True	False		35065	38593
1026.2945	13.085	M+0	False	False		18875	38584
1177.8316	13.475	M+2	True	False		18597	38562
593.6444	11.52	M+0	False	False		38540	36237
393.7603	1.484	M+0	False	False		38496	35192
1370.4584	11.903	M+0	False	False		17419	38453
871.4457	4.877	M+1	True	False		37667	38441
1322.1102	14.938	M+0	False	False		38394	35312
367.3373	13.712	M+0	False	True	161.1324;1.0	34012	38362
1467.4203	13.57	M+0	False	False		34049	38327
866.5763	1.72	M+0	False	False		38240	37193
1320.0013	14.896	M+0	False	False		36614	38229
655.5408	5.308	M+3	True	False		34421	38210
834.5502	1.867	M+0	False	False		34034	38191
842.5116	7.173	M+0	False	False		38152	31749
812.6682	10.33	M+0	False	False		38125	37625
1272.3235	12.411	M+0	False	False		38077	36181
421.2899	1.673	M+0	False	False		38062	33053
654.4889	3.493	M+0	False	False		38053	35619
1355.3535	12.542	M+1	True	False		16730	38038
450.7937	1.484	M+0	False	False		37952	30166
184.0736	10.412	M+0	False	True		37930	36861
832.2418	10.791	M+0	False	False	221.0857;0.109|281.0558;0.2523|355.0723;0.4481|356.0719;0.0825|357.0678;0.1081	32110	37918
1394.4015	13.428	M+1	True	False		32490	37883
842.4731	1.961	M+0	False	False		36858	37787
854.4949	1.681	M+0	False	False		37004	37771
1022.0208	14.896	M+2	True	False		37104	37741
722.5455	4.511	M+0	False	False	184.074;0.3021|678.5067;0.3307|679.516;0.3672	36415	37702
796.5275	5.899	M+0	False	False	162.9566;0.5075|737.4508;0.2383|738.4588;0.2542	37676	31791
622.4087	2.703	M+0	False	False		36519	37657
1276.1435	12.454	M+0	False	False		35696	37626
566.6182	9.237	M+1	True	False		36833	37598
880.2572	12.731	M+1	True	False		17084	37591
793.6973	10.412	M+2	True	False		37489	34786
1204.3158	12.104	M+0	False	False		13890	37484
1140.8222	13.381	M+2	True	False		15970	37424
721.5084	8.922	M+0	False	False		37336	37337
817.653	10.594	M+1	True	False		37336	31718
1427.3737	12.731	M+0	False	False	355.0633;0.1787|371.0996;0.2105|373.0824;0.2608|445.1192;0.35	15774	37279
842.5153	1.867	M+2	True	False		36699	37267
689.4796	14.038	M+0	False	False		37242	29798
933.8656	14.854	M+0	False	False		35948	37229
1103.8136	13.286	M+2	True	False		15885	37192
826.574	8.74	M+0	False	False	162.957;0.3636|767.4989;0.3466|768.4986;0.2898	37174	35998
1194.4163	8.704	M+0	False	False		37165	40788
1261.0425	13.333	M+0	False	False		32102	37123
1362.2566	14.038	M+0	False	False		37111	35755
1374.1946	14.176	M+0	False	False		31621	37069
1320.9178	14.896	M+0	False	False		35893	37017
788.575	8.66	M+0	False	False		37008	36291
552.3826	2.422	M+0	False	False	473.3404;0.6379|474.3414;0.3621	36842	36944
810.5266	2.793	M+0	False	False	184.0725;0.5145|764.4796;0.4855	35526	36926
714.6196	14.176	M+0	False	False		35699	36921
1193.4136	8.66	M+0	False	False		36921	32502
580.398	1.858	M+0	False	False		36899	34667
772.4596	1.905	M+2	True	False		36894	35265
1320.4408	15.08	M+0	False	False		51816	36868
813.1173	10.515	M+0	False	False		31090	36857
1029.794	13.133	M+2	True	False		17554	36824
1335.2597	15.081	M+1	True	False		36818	34596
1214.8414	13.57	M+2	True	False		18613	36724
754.5351	2.226	M+0	False	False		36713	32780
781.5574	5.758	M+1	True	False		37505	36680
1117.0709	16.085	M+0	False	False	400.4024;0.0588|680.6454;0.0551|817.7892;0.3994|818.7922;0.4106|819.7841;0.0761	0	36675
184.0736	8.668	M+0	False	True		35817	36670
822.4836	3.007	M+0	False	False		36644	35752
1303.4125	14.896	M+1	True	False		35019	36643
894.7567	13.333	M+0	False	False	261.222;0.2337|597.4888;0.4304|599.4996;0.3359	32460	36627
1281.335	12.363	M+1	True	False		17692	36616
760.2225	8.876	M+2	True	False		27724	36547
695.6458	15.271	M+0	False	False		36547	34660
548.5051	12.364	M+0	False	False	167.07;0.2197|419.352;0.5225|475.417;0.2579	36533	31514
421.3263	5.03	M+0	False	False		34910	36515
582.5781	7.498	M+1	True	False		36490	36034
682.5206	4.421	M+0	False	False		35143	36476
210.089	1.905	M+0	False	False	151.0176;1.0	36468	31436
703.3656	0.991	M+0	False	False		25532	36455
1361.3807	13.901	M+0	False	False		28691	36455
401.256	1.484	M+0	False	False		36451	30512
759.4531	5.947	M+0	False	False		36785	36430
1361.3852	14.038	M+2	True	False		36389	25393
1360.0981	13.708	M+0	False	False	691.5476;0.6439|692.5448;0.2578|693.5504;0.0984	36379	31876
1444.4749	12.151	M+0	False	False		17311	36374
802.6277	10.444	M+0	False	False		32195	36364
524.3356	1.302	M+0	False	False	184.0738;1.0	36332	33829
673.5846	14.085	M+2	True	False		36321	32917
686.2037	7.287	M+2	True	False		30866	36284
1409.4114	11.903	M+0	False	False		13652	36271
1466.4199	13.57	M+0	False	False		26111	36238
900.7944	13.948	M+2	True	False		36178	36208
1383.2231	13.991	M+1	True	False		35353	36193
497.3444	1.587	M+1	True	False		33396	36144
608.4297	2.414	M+0	False	False	184.0742;1.0	36120	34597
1015.9227	14.604	M+0	False	False		36063	33484
761.6321	5.947	M+2	True	False		35806	36044
790.5904	10.412	M+0	False	False		36010	35087
1000.8338	15.175	M+1	True	False		33603	35970
1367.1478	14.32	M+0	False	False		35941	35124
796.7407	14.128	M+0	False	False	523.4696;0.6197|524.474;0.144|537.4886;0.1189|551.5072;0.1174	33855	35897
856.4671	2.234	M+0	False	False		34173	35884
915.2663	12.778	M+0	False	False		18076	35870
792.5931	10.412	M+2	True	False		35868	34370
730.635	13.947	M+1	True	False		35794	30683
794.5117	5.215	M+0	False	False	162.9549;0.2912|184.0731;0.2734|735.4318;0.4354	35606	35745
854.5313	1.813	M+0	False	False		35718	33734
574.4923	4.591	M+0	False	False		35713	32316
1216.2578	11.809	M+0	False	False		35650	35482
840.5136	7.173	M+0	False	False	184.0756;0.8225|760.5828;0.1193|782.5671;0.0582	35620	31664
845.4896	2.748	M+3	True	False		34448	35597
370.3689	2.187	M+0	False	False		35197	35545
538.5836	7.521	M+1	True	False		31136	35498
1205.4081	8.66	M+0	False	False		35452	30509
1316.2749	14.604	M+0	False	False		35445	30564
874.4405	4.858	M+2	True	False		35444	31895
762.5488	7.127	M+1	True	False		35419	38446
824.7723	14.459	M+0	False	False	551.5078;0.6194|552.5119;0.3806	29279	35381
902.8096	14.27	M+2	True	False		31500	35380
810.6518	8.74	M+0	False	False		35363	33649
904.8344	14.81	M+0	False	False		35241	35335
1096.3239	12.64	M+1	True	False		35333	40547
1373.1901	14.176	M+0	False	False		33841	35316
680.5475	2.683	M+0	False	False		35311	33408
1365.1962	14.085	M+1	True	False		35283	35180
721.5078	9.107	M+0	False	False	605.7613;1.0	35283	34760
904.8249	14.554	M+2	True	False		29272	35252
742.4436	1.673	M+0	False	False		35234	31821
761.4443	7.082	M+0	False	False		35208	32957
782.62	7.173	M+0	False	False		35130	31087
760.5338	5.947	M+1	True	False		33871	35090
796.5268	6.077	M+0	False	False	162.9558;0.451|737.4497;0.549	34798	35045
1361.1025	13.708	M+1	True	False		35026	31492
689.493	14.038	M+0	False	False		34993	31703
730.6349	14.128	M+1	True	False		34384	34948
870.5269	1.767	M+0	False	False		34938	30433
1288.1038	12.545	M+0	False	False		34925	30280
909.2602	11.951	M+3	True	False		25658	34909
1320.016	14.938	M+0	False	False		34857	37009
791.518	10.415	M+0	False	False		33092	34741
674.4649	3.584	M+2	True	False		34732	33173
1429.3718	12.731	M+1	True	False		15839	34718
968.2985	4.924	M+3	True	False		14427	34647
694.5135	3.538	M+0	False	False	184.0734;0.3906|650.4772;0.3142|651.4806;0.2953	34605	32135
791.6803	8.668	M+2	True	False		27642	34548
184.0737	5.168	M+0	False	True		33477	34522
1319.9755	14.938	M+0	False	False		34467	32535
822.5431	1.626	M+1	True	False		34452	33176
851.7909	14.507	M+1	True	False		26040	34431
422.3292	4.329	M+0	False	False		31333	34430
1315.2725	14.604	M+0	False	False		34381	0
1022.3093	12.363	M+0	False	False		23275	34375
442.2949	1.626	M+0	False	False		34359	30669
1213.182	11.856	M+2	True	False		34356	33211
775.5686	3.205	M+1	True	False		34319	33013
460.7765	1.579	M+1	True	False		34310	29348
788.5963	2.793	M+0	False	False		33303	34303
1207.3146	12.104	M+1	True	False		14334	34241
633.544	12.187	M+0	False	False		34227	34205
1322.0654	14.896	M+0	False	False		36116	34221
759.4426	5.979	M+0	False	False		34218	31237
1322.0171	14.896	M+2	True	False		34143	26049
646.617	12.454	M+0	False	False		31390	34127
880.603	10.549	M+0	False	False	812.6157;0.4285|813.6208;0.5715	34104	32040
1063.3042	13.18	M+0	False	False		15578	34102
1299.1829	14.604	M+0	False	False		34098	30148
1211.8407	13.57	M+0	False	False		17716	34038
690.4711	2.366	M+0	False	False	184.0748;1.0	33998	29752
663.4551	12.411	M+0	False	False		33994	31259
540.4818	1.402	M+0	False	False		14495	33951
721.508	9.475	M+0	False	False		33949	32473
1114.3365	7.196	M+0	False	False		12778	33861
789.4907	8.704	M+0	False	False		33770	28221
1325.2546	14.986	M+0	False	False		33721	32016
342.3375	1.72	M+0	False	False		33702	25844
992.7842	12.991	M+2	True	False		18795	33692
791.5043	10.412	M+0	False	False		33649	33635
704.6267	14.222	M+2	True	False		29786	33635
724.4878	1.587	M+0	False	False		33516	33630
654.4733	2.179	M+2	True	False		33607	32821
790.5836	8.668	M+2	True	False		33905	33596
853.2523	4.027	M+3	True	False		15761	33557
1262.0457	13.333	M+1	True	False		31847	33487
708.4966	6.693	M+1	True	False		33193	33453
1300.1626	12.885	M+0	False	False	647.5594;0.1638|648.5676;0.1896|675.5933;0.4794|676.5948;0.1672	33354	33444
1021.1318	14.896	M+1	True	False		31381	33441
780.6039	6.032	M+0	False	False		29961	33429
798.5421	7.218	M+0	False	False	162.9562;0.4019|739.4698;0.3643|740.4752;0.2338	33340	32744
546.4164	1.913	M+0	False	False		31553	33292
738.4633	2.84	M+0	False	False	666.511;0.3687|702.484;0.3476|703.4908;0.2837	30268	33284
1040.9259	14.038	M+1	True	False		33249	31403
761.4709	7.104	M+0	False	False		33893	33220
828.5894	10.329	M+0	False	False	769.5226;0.7574|770.5213;0.2426	33045	33219
858.5108	1.813	M+2	True	False		33194	32532
432.2817	1.484	M+0	False	False		33193	31132
392.3171	1.729	M+0	False	False		31568	33159
1172.3434	12.885	M+2	True	False		29301	33140
1298.1798	14.604	M+0	False	False		33137	31132
680.4756	4.409	M+2	True	False		33113	29911
791.4773	10.412	M+0	False	False		33082	31428
798.542	7.034	M+0	False	False	162.956;0.5056|739.4648;0.4944	33074	29727
760.5669	5.19	M+0	False	False		33044	30462
647.6093	12.454	M+0	False	True		33013	31453
759.4269	5.947	M+0	False	False		34418	32959
651.7014	11.52	M+0	False	False		32944	32543
800.5082	1.821	M+0	False	False		26935	32912
1488.4282	12.151	M+3	True	False		15223	32906
674.5887	13.806	M+0	False	False	355.3418;0.2836|356.34;0.099|369.3532;0.4431|370.3556;0.1744	24882	32896
878.5875	8.613	M+0	False	False	810.5948;0.4949|811.5981;0.5051	32843	24167
770.586	2.887	M+0	False	False		31580	32769
836.5291	1.579	M+0	False	False		32761	31553
1021.3071	12.363	M+0	False	False		26892	32749
722.5117	4.793	M+0	False	False		27674	32745
721.5081	2.611	M+0	False	False	416.4374;1.0	32213	32688
1118.0762	16.085	M+1	True	False		0	32684
722.5098	5.005	M+0	False	False	184.0723;1.0	32671	27599
1391.401	13.428	M+0	False	False		25110	32625
1322.036	14.854	M+1	True	False		30657	32605
1156.8121	5.19	M+0	False	False		32457	30476
451.7794	1.767	M+0	False	False		32382	26800
625.625	12.454	M+0	False	False		30181	32366
1220.0805	11.856	M+0	False	False		31122	32356
886.4225	2.819	M+0	False	False		32333	31746
955.7745	12.932	M+2	True	False		15699	32330
210.0894	4.496	M+0	False	True	151.0142;1.0	32283	31919
1217.2602	11.856	M+1	True	False		32282	31243
443.7812	1.673	M+0	False	False		32280	29080
1204.4036	8.668	M+0	False	False		29334	32254
1352.3539	12.542	M+0	False	False	281.0526;0.075|355.0709;0.3307|371.1012;0.2273|429.0894;0.1813|445.1202;0.1857	17883	32246
778.5892	5.19	M+0	False	False		32241	30239
1468.42	13.57	M+1	True	False		26380	32207
1273.3286	12.497	M+0	False	False		32206	31742
401.2734	1.484	M+0	False	False		32191	29435
721.5064	2.414	M+0	False	False		32164	33864
610.1852	6.077	M+0	False	False	355.0732;0.7808|356.0729;0.2192	23747	32146
700.6044	14.128	M+0	False	False		28337	32045
819.26	3.24	M+2	True	False		10871	32034
185.0771	1.402	M+1	True	True		28542	31989
679.3883	4.409	M+0	False	False		31946	30461
689.4184	14.038	M+0	False	False		31934	25953
1342.9291	6.693	M+0	False	False	663.4596;0.4399|664.4608;0.4846|665.4507;0.0755	30680	31866
663.4552	12.199	M+0	False	False	439.2034;0.1832|495.2626;0.2915|551.3269;0.5253	31815	28990
841.5161	1.767	M+3	True	False		31722	28430
896.4875	1.681	M+0	False	False		30983	31670
722.5097	5.564	M+0	False	False		31617	27537
381.3521	13.851	M+0	False	True		31578	29675
786.5658	3.95	M+0	False	False	754.5442;0.5933|755.5432;0.4067	29455	31566
716.4637	4.463	M+0	False	False	162.9569;0.2899|657.3896;0.4582|658.3968;0.2519	30207	31539
774.5557	2.819	M+2	True	False		31508	24656
1375.384	11.903	M+1	True	False		13156	31482
972.8826	15.176	M+0	False	False		31439	30286
564.5839	9.6	M+0	False	False	282.2784;0.332|309.3248;0.3041|310.3138;0.3639	31434	29358
678.4361	1.635	M+0	False	False		26059	31404
898.7785	13.659	M+2	True	False		31399	26449
1113.3364	7.196	M+0	False	False		12982	31398
934.8695	14.896	M+1	True	False		28707	31340
1343.1494	14.557	M+0	False	False		31314	28266
548.5057	11.999	M+0	False	False	419.3508;0.5396|475.417;0.2269|476.4076;0.2335	31288	25773
1385.963	6.693	M+1	True	False		26280	31242
175.1486	14.038	M+0	False	False		31218	26491
1162.3582	7.149	M+0	False	False		26111	31206
766.4187	4.946	M+0	False	False	687.3717;0.5083|689.3676;0.4917	31178	29567
1342.1452	14.557	M+0	False	False	671.5753;0.1103|693.5604;0.4693|694.5658;0.3778|695.578;0.0426	31126	30495
672.507	3.538	M+0	False	False		31101	29156
769.5615	6.016	M+0	False	False		31076	30753
700.5412	4.496	M+0	False	False		30964	29820
1361.8839	13.901	M+0	False	False		17120	30912
663.4547	11.951	M+0	False	False	607.3858;1.0	29536	30902
880.6032	10.285	M+0	False	False	753.5399;0.2826|812.6195;0.3698|813.6184;0.1878|814.613;0.1598	30798	29565
1059.2966	12.636	M+1	True	False		28607	30738
788.5447	2.234	M+0	False	False		30354	30724
1443.481	12.151	M+0	False	False		14887	30722
792.6239	7.01	M+0	False	False	184.075;0.4223|734.573;0.3524|735.5734;0.2253	26331	30687
833.6587	8.74	M+1	True	False		30682	29261
619.5756	11.809	M+0	False	False		30629	30563
833.2428	10.744	M+1	True	False		25363	30618
440.422	2.96	M+3	True	True		30568	30476
761.4226	7.104	M+0	False	False		33169	30483
644.4792	2.683	M+0	False	False		30460	28362
615.5366	11.856	M+0	False	False		30384	0
1244.0989	12.592	M+0	False	False	619.5308;0.2939|647.5631;0.3386|648.5664;0.3674	30357	27329
1289.1082	12.545	M+1	True	False		30353	28571
579.4462	1.821	M+1	True	False		29750	30241
1379.1487	14.226	M+0	False	False		30232	28646
722.5109	4.191	M+0	False	False		26192	30200
855.8199	14.459	M+0	False	False	556.5338;0.23|582.5532;0.4586|583.553;0.3114	18650	30186
1230.084	12.187	M+0	False	False		30163	28972
1320.8717	14.938	M+0	False	False		30111	28343
792.5576	10.415	M+1	True	False		32431	30110
816.5032	1.673	M+0	False	False		30087	28751
778.5866	5.282	M+0	False	False		30034	30239
1278.0356	11.856	M+0	False	False		28328	29995
747.5749	6.375	M+1	True	False		29994	24431
759.353	5.939	M+0	False	False		29983	27557
706.4658	1.729	M+0	False	False		25278	29970
948.8769	15.845	M+0	False	False	367.3331;0.156|368.3399;0.1389|369.3549;0.4961|370.355;0.2091	25492	29918
760.5205	5.979	M+0	False	False		29897	26565
800.6121	8.668	M+1	True	False		29662	29868
680.4879	2.008	M+0	False	False		26980	29804
652.5152	2.187	M+0	False	False		29206	29790
762.5063	7.127	M+1	True	False		29764	33799
1115.337	7.196	M+1	True	False		12288	29756
1100.3132	13.286	M+0	False	False		13014	29755
652.6129	14.896	M+1	True	False		29739	29361
1449.4	12.151	M+1	True	False		14437	29725
1340.3897	11.298	M+3	True	False		12581	29723
702.6117	13.899	M+2	True	False		29694	29451
688.4328	3.584	M+0	False	False	162.9578;0.5423|629.3589;0.4577	29659	29017
849.7754	14.176	M+1	True	False		22944	29658
648.5644	12.944	M+0	False	False		27944	29656
1232.0415	11.951	M+0	False	False		28663	29619
791.5643	3.101	M+1	True	False		29563	29323
1208.3333	13.085	M+0	False	False		26056	29544
997.1945	3.55	M+0	False	False		33492	29515
1160.3381	5.9	M+0	False	False		29272	29511
1413.4133	11.903	M+2	True	False		10909	29501
922.0111	15.857	M+0	False	False	587.6652;1.0	29488	28071
666.6408	9.691	M+0	False	False	311.2973;1.0	29473	28078
184.101	1.393	M+0	False	False		29456	29029
790.547	8.66	M+1	True	False		29455	27424
1395.3999	13.381	M+2	True	False		22259	29379
705.5599	13.804	M+0	False	False		29374	27676
902.7312	13.659	M+1	True	False		29368	28166
916.3906	5.215	M+0	False	False	184.0744;1.0	28035	29349
