m/z	RT	intensity
812.61731	13.434	1903716.5
794.60693	13.482	592385.0
768.55566	13.49	1171867.2
718.57599	13.516	1081330.2
745.62299	13.525	579652.8
721.50665	13.555	4545494.0
639.49658	13.629	568519.0
634.53992	13.629	634725.5
684.20386	13.663	581624.5
774.60242	13.707	1603842.8
720.59137	13.707	1348647.8
744.5907	13.707	1702832.8
796.62366	13.715	922417.5
812.61798	13.806	31305863.0
820.62347	13.806	511853.5
834.60022	13.811	1137464.5
813.30493	13.811	454253.2
870.67133	13.811	1011898.5
746.60736	13.88	3023576.0
794.60754	13.914	1709727.5
776.56079	13.945	361248.2
770.60773	14.131	1191149.8
800.61902	14.148	603094.2
796.62366	14.166	3597189.5
822.63916	14.235	771279.8
812.61914	14.27	858289.2
762.60199	14.295	2949472.0
752.56018	14.304	1469010.8
838.63501	14.317	2409809.8
781.62201	14.347	377419.2
759.63934	14.347	8075011.0
785.65521	14.356	3314526.5
772.6236	14.356	1109797.0
788.61682	14.508	25493964.2
789.29413	14.512	299250.2
810.60077	14.512	1071312.8
846.6723	14.516	766347.5
728.56091	14.516	442704.5
807.63782	14.616	448094.8
833.6535	14.616	785437.0
785.65509	14.62	9342585.8
811.66949	14.62	15891255.5
575.50476	14.668	764437.0
610.54034	14.672	1187013.2
615.49628	14.676	959599.0
814.63416	14.772	2992146.5
657.48737	14.871	417338.0
601.52002	14.871	587452.5
636.55573	14.871	1476357.5
677.58435	14.876	434955.0
641.51147	14.876	1365664.2
799.67163	15.127	1801714.2
773.6543	15.153	2647053.2
799.67133	15.404	3609518.5
553.46033	15.568	626361.8
548.50488	15.568	1529144.2
569.43317	15.568	434797.5
475.41632	15.568	550266.8
589.53107	15.568	1084751.2
551.50452	15.672	363861.2
591.49658	15.681	340269.2
850.67053	15.707	748138.0
824.6546	15.707	565400.0
814.3736	15.845	387606.8
835.66858	15.845	1360387.0
577.52039	15.845	1582933.2
813.68561	15.845	24022522.2
617.5127	15.845	1113261.8
653.58386	15.85	585176.2
871.73877	15.85	314997.2
612.55756	15.854	1642694.5
809.65283	15.863	1024066.2
787.67029	15.863	18183608.5
876.68628	15.945	693071.0
603.53564	16.014	588331.0
643.5282	16.014	910807.8
638.5722	16.019	1147802.5
813.68597	16.105	8083391.8
827.70197	16.231	614160.2
815.70093	16.336	511033.2
801.68634	16.503	7413947.8
878.7019	16.897	956094.2
815.7019	17.058	11668142.8
837.6842	17.058	556910.5
647.45886	17.261	819773.8
709.55408	17.646	575588.5
685.55359	17.85	499894.8
723.64056	18.014	1087695.0
687.56946	18.014	649972.8
904.76141	18.049	825832.5
727.56384	18.079	852715.5
763.6358	18.084	695041.2
722.60883	18.097	636876.5
929.79291	18.17	980459.0
632.63458	18.175	353023.2
650.64459	18.179	470714.2
888.76672	18.179	944566.8
703.56378	18.179	1455249.8
725.61969	18.183	769036.8
680.59827	18.183	630314.2
663.57129	18.183	433179.2
739.63531	18.183	2557027.0
698.60846	18.188	1224948.5
747.64038	18.218	3849506.0
733.62494	18.222	1079889.2
671.57678	18.222	2518973.0
711.56897	18.222	2636058.5
369.35251	18.231	1314884.2
706.6142	18.253	951703.5
1352.15015	18.283	267879.2
647.57709	18.283	1838733.5
709.62549	18.283	1586255.5
723.64111	18.283	5400381.2
367.3374	18.287	800265.5
682.6142	18.287	641455.0
687.56891	18.292	2639747.8
745.62476	18.335	563554.2
685.55328	18.491	615619.0
721.62433	18.491	3902775.2
707.60889	18.491	603175.5
663.57092	18.495	1021599.8
906.77734	18.599	696215.5
890.78113	18.72	722896.2
764.67645	19.24	509795.2
857.7337	19.443	558899.8
816.70795	19.443	826042.2
883.75006	19.612	679724.0
842.72351	19.616	1103061.2
740.67645	19.707	450930.2
766.69165	19.759	999558.5
807.7182	19.759	565518.0
894.75433	19.794	3027854.8
899.71106	19.794	870858.8
935.78088	19.794	1798153.0
833.73334	19.859	1181728.5
868.73932	19.863	1479516.2
797.66333	19.863	594658.8
792.70782	19.863	2186450.5
880.71735	19.902	414447.5
922.74872	19.906	351999.5
859.75024	19.915	2168042.8
823.67828	19.915	1024276.0
818.7226	19.915	4125088.8
865.66827	20.019	523866.2
849.69366	20.028	1485864.8
885.76532	20.036	3245196.2
844.73877	20.036	6626575.0
894.75366	20.075	1788450.0
920.76996	20.088	1500707.8
891.68433	20.166	818820.5
875.70953	20.184	2775543.5
911.78058	20.188	6799152.8
870.75482	20.192	16440605.5
832.73859	20.197	603012.8
923.78137	20.21	2826346.8
917.69995	20.21	795033.2
901.72485	20.21	2305375.8
937.79602	20.21	5611456.8
896.76923	20.21	14180747.2
809.73492	20.279	494230.5
920.76965	20.279	1780496.8
961.79547	20.279	614230.8
768.70721	20.283	1282173.5
858.75403	20.309	1254352.5
835.74915	20.322	1674681.5
794.7226	20.322	4434056.0
799.67834	20.322	646360.0
946.78534	20.331	1087579.8
825.6944	20.383	1600658.5
861.76556	20.4	4699909.8
820.73846	20.4	13803070.8
937.79608	20.439	2149819.5
851.70953	20.452	2558190.8
896.77026	20.452	8427608.2
867.68396	20.453	377288.5
847.03613	20.461	317130.2
846.9173	20.461	387463.5
846.755	20.461	32582570.5
887.78143	20.461	8980113.8
963.81226	20.474	1257382.8
693.55829	20.478	643781.8
715.61334	20.478	814178.5
922.78607	20.478	5396396.2
949.79822	20.478	814019.5
729.62927	20.478	777646.8
688.60278	20.482	6100798.2
369.35135	20.487	370302.5
893.70044	20.543	687368.0
872.77051	20.556	88900117.0
873.18646	20.556	390547.5
873.48322	20.556	2101447.2
913.79645	20.556	21982188.5
877.72559	20.556	5297021.8
872.9342	20.56	1356289.0
873.0592	20.56	1272905.8
808.73962	20.582	699195.8
898.95361	20.592	428662.0
899.07422	20.608	449643.8
939.81152	20.608	9846448.2
898.78589	20.608	39428185.8
899.50903	20.608	711948.2
925.79614	20.625	5405184.2
903.74139	20.625	2458236.2
834.75494	20.651	2263302.8
963.81201	20.686	762888.5
922.78589	20.686	3343104.5
719.57404	20.694	597964.0
902.7998	20.703	1336554.0
714.61786	20.703	6631971.8
755.64465	20.712	1514349.2
860.77002	20.712	4460366.2
741.62903	20.712	1445712.8
1361.18567	20.712	500933.5
948.80133	20.72	1285366.0
1311.17053	20.729	1475888.0
1316.1261	20.729	340492.8
1338.18225	20.729	304807.5
664.60162	20.729	16279290.8
691.61365	20.738	3025220.5
705.62921	20.738	3719330.5
369.35101	20.738	1362933.0
647.57629	20.738	401040.8
669.55792	20.738	1720874.5
886.78546	20.764	2578184.5
837.76453	20.79	1124320.0
796.73834	20.798	3570208.0
827.71014	20.816	966458.2
863.78046	20.824	4580271.2
822.75464	20.833	18375937.2
898.78516	20.842	9847836.0
965.82758	20.846	1824203.2
951.81458	20.85	1300001.5
853.72516	20.85	1840241.2
924.80096	20.863	10977888.0
889.79633	20.868	11501316.2
848.77039	20.881	65800510.5
848.9317	20.894	1341922.8
849.05377	20.894	1147851.5
717.62933	20.902	3432312.8
695.57355	20.907	1583475.0
1363.19958	20.911	9340390.0
1390.2113	20.911	462021.2
731.64471	20.911	4759684.0
673.59174	20.915	2008336.8
690.98712	20.918	243722.2
690.87408	20.92	1002938.8
690.61847	20.92	57863767.2
690.76324	20.92	1176785.2
369.35175	20.928	4117200.2
575.50305	20.928	579898.8
577.51764	20.936	464055.0
874.94958	20.95	2604605.8
915.81195	20.95	23741978.2
875.50037	20.95	4337576.5
875.33905	20.95	457781.0
875.22308	20.95	792966.2
875.07837	20.95	2157629.2
874.78802	20.95	124409668.5
601.5188	20.963	443297.8
879.74072	20.971	3186878.5
900.9671	20.997	995796.5
901.09229	20.997	926232.8
901.52515	20.997	1362035.0
900.8006	20.997	61288597.0
941.82684	21.01	8905841.2
1313.18457	21.019	319634.5
905.75586	21.019	1500445.0
810.75531	21.036	571862.5
614.58679	21.045	599197.8
1237.15381	21.049	1128932.5
681.62921	21.058	1899142.8
645.55682	21.058	606296.5
836.771	21.062	2759455.2
1263.17151	21.062	3188432.2
640.60175	21.062	9156773.2
926.81738	21.071	2203852.0
862.78632	21.084	5116847.8
1289.18445	21.101	5321275.0
888.8028	21.132	3278296.0
1298.17627	21.158	1087178.8
667.62177	21.158	97818842.2
666.61908	21.158	140188915.8
1017.93665	21.158	461344.5
666.87225	21.158	2497991.2
1315.3949	21.158	1956530.2
666.7619	21.158	3073039.8
1317.20752	21.158	59511898.0
1315.55908	21.158	1836314.5
1315.20142	21.162	98441079.0
649.59167	21.162	1640644.5
1316.20471	21.162	98615292.0
667.00079	21.162	1098531.2
369.35172	21.166	15487048.0
1356.22498	21.171	1234214.0
671.57318	21.175	3492844.0
1320.15356	21.179	1299310.0
707.64429	21.179	15693236.0
1473.34961	21.232	225730.5
1341.21301	21.236	1837585.5
952.83301	21.244	832923.8
1499.36462	21.244	430054.8
733.66016	21.257	722303.2
692.63342	21.262	7093337.0
824.76953	21.262	6881290.8
865.79639	21.262	1171141.5
719.64478	21.262	620691.0
551.50195	21.275	338323.2
891.81085	21.279	7219565.0
855.74139	21.288	1130748.0
850.78583	21.288	51938061.0
851.07104	21.292	950130.2
850.9469	21.292	1030730.2
577.5177	21.301	949484.5
926.81586	21.301	4133666.2
877.51501	21.314	3601742.0
877.35266	21.314	376414.8
877.23804	21.314	643674.2
876.96417	21.314	2063784.2
877.0929	21.318	1910620.5
876.80164	21.318	115100436.5
917.82654	21.322	19637501.0
603.53455	21.327	487831.2
881.7558	21.331	3708371.5
680.63306	21.357	1087382.5
654.61774	21.357	839929.0
902.98267	21.365	735482.8
903.10791	21.365	731937.8
902.8158	21.365	52401899.8
903.54272	21.365	1107534.2
943.84241	21.383	8535667.8
907.77118	21.404	2329303.5
928.83087	21.409	3429833.2
668.63324	21.421	648028.5
923.74634	21.434	322307.8
969.85883	21.456	674854.5
838.78491	21.469	724203.2
721.50519	21.487	1020095.5
864.80054	21.5	2803903.5
931.84186	21.502	874055.5
694.64856	21.526	713381.0
890.81677	21.53	3433111.0
683.64435	21.586	3599568.2
1308.22681	21.591	403746.8
647.57318	21.591	1080203.5
1250.1759	21.604	1757601.8
1267.20056	21.604	9726499.2
993.93707	21.608	688567.2
642.61792	21.608	12765248.5
1276.18994	21.612	1951177.0
1293.21655	21.612	32524992.2
1293.5647	21.612	581935.0
1334.24121	21.612	849590.8
1293.41345	21.617	625229.5
1019.95184	21.621	799205.5
1302.2041	21.625	766384.2
1319.23047	21.625	25935168.0
1319.43091	21.625	403395.0
668.88538	21.625	928195.8
1319.58203	21.625	397093.5
668.77686	21.625	1008660.2
668.6344	21.625	57559768.0
369.35165	21.625	11447905.8
709.6604	21.63	9101103.5
1360.25684	21.634	636414.2
673.58917	21.638	2113412.8
1346.24133	21.643	1336851.0
695.64465	21.647	5915405.0
852.80023	21.695	5796415.5
893.82672	21.699	1224930.5
879.10199	21.703	235055.2
879.53235	21.708	367021.2
878.81531	21.712	21462062.0
878.98206	21.715	225555.0
919.84161	21.716	4506631.8
904.83215	21.729	18080873.0
883.77106	21.734	996451.8
945.8573	21.742	3985346.5
930.84644	21.751	1825316.2
909.78632	21.755	1185602.2
656.63361	21.777	617598.8
971.87439	21.777	503017.0
921.85852	22.076	588144.2
880.83228	22.084	1420911.5
947.87433	22.089	888890.8
906.84766	22.093	2361923.5
1323.26404	22.106	403854.5
932.8631	22.106	834442.8
670.64825	22.11	2814223.0
675.604	22.11	720479.0
697.65997	22.11	1423307.8
711.67462	22.11	1684070.2
369.3515	22.119	715281.2
